ID,Expression
MAR04379,131.10984161
MAR04358,65.02719783
MAR04363_f,133.96345474
MAR04368_f,150.28377641
MAR04391_f,47.2605243
MAR04394,243.71028845
MAR04365_r,181.43897728
MAR04373_r,81.7384254
MAR04375_r,163.34003374
MAR04381_r,46.8109825
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02552c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02819c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02553c,-1.0
temporary_exchange_MAM02040c,-1.0
