ID,Expression
MAR04388_f,237.04112
MAR04379,133.78144681
MAR04358,73.27166656
MAR04363_f,138.55300129
MAR04368_f,144.13329376
MAR04391_f,45.66134983
MAR04394,251.30725903
MAR06412,23.85777223
MAR08514,79.56364851000001
MAR00710_f,45.69369935
MAR03977,129.05841668
MAR06914,32.55979355
MAR06916,1.14
MAR00397,385.59012343
MAR02368,135.3665734
MAR02371,289.96493744
MAR02374,1.14
MAR02376,1.14
MAR02378,102.25683797
MAR02380,135.3665734
MAR00410,261.65910598
MAR02591_f,138.65004984
MAR07672,61.86846018
MAR07673,61.86846018
MAR08709_f,339.4920551
MAR08746,70.11758821000001
MAR02590,43.54245615
MAR04898_f,1.14
MAR04926,85.07924199
MAR05043,33.38470636
MAR06328_f,104.82862496
MAR07638,224.392457
MAR02189,172.22885334
MAR02303_f,53.9266526
MAR20069,47.71554446
MAR04365_r,175.09178599
MAR04373_r,82.55597928
MAR04375_r,164.69141478
MAR04381_r,47.61849588
MAR04002_r,426.35052075
MAR06409_r,54.31484686
MAR03958_r,45.64517507
MAR02593_r,95.99720553
MAR06638_r,339.4920551
MAR04888_r,76.11842448
MAR00060_r,43.54245615
MAR02188_r,172.22885334
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02387c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02046c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM01362c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
