Task,Sample,Expression
002,Sample001,127.06892108
002,Sample002,139.13292862
002,Sample003,145.34318103
002,Sample004,137.17331726
002,Sample005,130.24847229
002,Sample006,140.94112521
002,Sample007,164.44397161
