,gene_contribution
ENSG00000000003,0.0
ENSG00000000419,1.9411764705882353
ENSG00000002549,1.957367240089753
ENSG00000004455,0.3707472207868565
ENSG00000004478,0.008988526410405543
ENSG00000004779,1.0
ENSG00000004799,0.9675635827497234
ENSG00000004864,0.17986164488854728
ENSG00000004939,1.8571428571428572
ENSG00000004961,1.0
ENSG00000005022,0.03447607691161127
ENSG00000005075,2.0
ENSG00000005187,2.5961538461538454
ENSG00000005339,0.029280895650925804
ENSG00000005469,12.337477797513321
ENSG00000005810,0.013625645464585275
ENSG00000005882,0.007003317360855142
ENSG00000006007,1.0
ENSG00000006530,6.0
ENSG00000006625,3.9484702093397743
ENSG00000006695,3.502679938744257
ENSG00000006756,1.9473684210526316
ENSG00000006757,6.784878638921293
ENSG00000007168,1.581135091926459
ENSG00000007541,0.08576998050682261
ENSG00000007944,0.01517774527654241
ENSG00000008130,1.0
ENSG00000008394,0.13060344468836102
ENSG00000008513,8.552693208430913
ENSG00000009335,0.005611437781691195
ENSG00000009413,0.20474236206110344
ENSG00000010256,1.0
ENSG00000010379,2.0
ENSG00000010404,3.0
ENSG00000010932,1.2769230769230768
ENSG00000011009,0.14938574938574942
ENSG00000011198,2.6333514394350903
ENSG00000011275,0.005372653195236246
ENSG00000011405,5.0
ENSG00000012232,4.560830860534125
ENSG00000012660,42.20253964906728
ENSG00000012963,0.004074262006387485
ENSG00000013375,1.0
ENSG00000013392,1.0
ENSG00000013503,2.0
ENSG00000013561,0.010073724741067967
ENSG00000014641,2.0
ENSG00000016391,2.011634844868735
ENSG00000016864,0.28112149532710284
ENSG00000017260,0.024503029658764754
ENSG00000017797,2.0
ENSG00000018280,0.021301775147928994
ENSG00000018510,1.0
ENSG00000023041,0.057523175659614956
ENSG00000023228,1.0
ENSG00000023330,3.0
ENSG00000023572,0.3606973058637084
ENSG00000023697,1.0
ENSG00000023909,1.0
ENSG00000024048,0.00796943557293378
ENSG00000025708,1.0
ENSG00000025800,0.5373665480427046
ENSG00000027847,1.1076635514018691
ENSG00000030066,1.075850043591979
ENSG00000031698,1.0
ENSG00000033100,0.4307692307692308
ENSG00000033178,0.0023579977912425746
ENSG00000033627,0.09699740693378268
ENSG00000033867,1.823321554770318
ENSG00000034677,0.008461928782497094
ENSG00000035687,0.06561679790026247
ENSG00000036530,2.0
ENSG00000036672,0.04863288771524457
ENSG00000037897,1.0
ENSG00000038002,4.0
ENSG00000038210,0.31007751937984496
ENSG00000038274,1.7544378698224852
ENSG00000039123,0.039292902774131444
ENSG00000039650,1.0
ENSG00000040933,3.0
ENSG00000041880,0.029034690799396672
ENSG00000043514,1.0
ENSG00000047230,2.0
ENSG00000047249,0.13072203869749882
ENSG00000047315,2.0
ENSG00000047410,1.0
ENSG00000048392,3.5
ENSG00000049759,0.007566486583291048
ENSG00000049860,40.573152081164444
ENSG00000051382,1.221324717285945
ENSG00000052802,13.358166189111747
ENSG00000053371,4.21602787456446
ENSG00000054148,4.077198327148622
ENSG00000054267,0.39586523736600315
ENSG00000055483,0.007261924409968647
ENSG00000055609,0.334037329328381
ENSG00000058600,2.0
ENSG00000059377,2.0
ENSG00000059378,0.010935143288084464
ENSG00000060642,2.013457943925234
ENSG00000060762,1.5
ENSG00000060971,131.2370200316471
ENSG00000061918,1.3910447761194031
ENSG00000062485,1.0
ENSG00000063176,2.329411764705882
ENSG00000063854,1.8638059701492538
ENSG00000064225,4.0
ENSG00000064601,31.90950122696173
ENSG00000065154,1.0
ENSG00000065427,1.0
ENSG00000065518,1.0
ENSG00000065534,1.0
ENSG00000065615,0.05997109826589596
ENSG00000065621,0.0656691446803191
ENSG00000066322,43.52
ENSG00000066379,2.0
ENSG00000066651,0.7821011673151751
ENSG00000066926,1.0
ENSG00000067057,1.0701178288584121
ENSG00000067064,2.0
ENSG00000067113,0.5734973059551932
ENSG00000067225,7.0
ENSG00000067829,3.620305980528511
ENSG00000067992,0.0254330998894213
ENSG00000068001,0.34141823234020136
ENSG00000068120,4.0
ENSG00000068308,0.0035759476261209237
ENSG00000068366,29.7003374103378
ENSG00000068650,15.0
ENSG00000068745,0.6868686868686869
ENSG00000068903,0.37451235370611197
ENSG00000069248,1.075850043591979
ENSG00000069535,6.811518324607332
ENSG00000069849,5.797773654916515e-05
ENSG00000070214,0.21836228287841197
ENSG00000070423,0.002552010267737218
ENSG00000070501,0.12220702234382125
ENSG00000070610,2.0
ENSG00000070614,1.183574879227053
ENSG00000070950,0.0003283288063755486
ENSG00000071073,0.9946808510638299
ENSG00000071553,0.15667767815007078
ENSG00000071794,0.007775423096439128
ENSG00000072210,31.661514942655238
ENSG00000072401,0.018863982329940597
ENSG00000072506,53.04332335693018
ENSG00000072609,0.0004924932095633226
ENSG00000072682,2.386206896551724
ENSG00000072756,0.017677430646713926
ENSG00000072778,61.74739464041221
ENSG00000073060,3.0
ENSG00000073578,1.0
ENSG00000074416,6.061899513018565
ENSG00000074696,0.6870764197242349
ENSG00000074800,1.0
ENSG00000075188,1.075850043591979
ENSG00000075239,3.0
ENSG00000075415,2.0
ENSG00000075975,0.0029251111840730673
ENSG00000076258,2.353846153846154
ENSG00000076555,2.0
ENSG00000076685,0.9374837613285778
ENSG00000077152,0.003059427513953973
ENSG00000077254,0.03427408263189745
ENSG00000077463,2.0312093628088426
ENSG00000077514,0.004858338011908621
ENSG00000077721,0.01541652986299735
ENSG00000078070,3.0
ENSG00000078124,16.132242475102412
ENSG00000078140,0.01393905023430738
ENSG00000078142,6.0
ENSG00000078269,0.888888888888889
ENSG00000078747,0.004253350446228696
ENSG00000078967,0.004924932095633228
ENSG00000079459,5.0
ENSG00000079462,0.008792965627498003
ENSG00000079739,0.9564134495641345
ENSG00000079805,0.010046601706711858
ENSG00000080493,2.176678445229682
ENSG00000080802,0.008163448049428406
ENSG00000081181,1.0
ENSG00000081760,2.0
ENSG00000082212,1.76536312849162
ENSG00000082996,0.007133689520341464
ENSG00000083123,6.075364667747164
ENSG00000083168,0.04966269556480553
ENSG00000083223,0.36652719665271966
ENSG00000083720,1.0
ENSG00000083799,0.02354623975353469
ENSG00000083807,29.0
ENSG00000084072,0.010257494844815734
ENSG00000084073,1.0
ENSG00000084090,0.8584942845880962
ENSG00000084207,11.312682480597328
ENSG00000084676,0.07449404334720827
ENSG00000084754,253.32182868774103
ENSG00000085231,0.29279059245514577
ENSG00000085377,1.0
ENSG00000085382,0.0008506700892457398
ENSG00000085415,1.0
ENSG00000085563,56.0
ENSG00000085662,10.25173381888206
ENSG00000085871,4.498970317064077
ENSG00000085982,0.00610661825383727
ENSG00000085998,0.6474766355140187
ENSG00000086062,15.20940575575586
ENSG00000086475,0.20539730134932532
ENSG00000086544,1.0
ENSG00000087008,14.713613260027033
ENSG00000087053,0.11247144176499024
ENSG00000087076,0.01259710266638673
ENSG00000087111,5.0
ENSG00000087157,2.0
ENSG00000087253,6.003327787021631
