GeneID,RPKM_zero,RPKM_final
ENSG00000121410,23.04028926,35.35517187
ENSG00000148584,6.572122437,9.544001726
ENSG00000175899,11.55363428,8.367625135
ENSG00000166535,16.10802631,11.95181235
ENSG00000184389,35.87139282,18.20982804
ENSG00000128274,24.62841914,19.40121761
ENSG00000118017,27.47591413,22.60167627
ENSG00000094914,14.81888958,15.34895387
ENSG00000081760,8.414891172,6.026224622
ENSG00000114771,25.06130713,23.41560224
ENSG00000197953,15.80992648,12.50269704
ENSG00000188984,10.70447351,18.90880987
ENSG00000204518,26.76261244,22.65717207
ENSG00000109576,28.23878035,42.20504121
ENSG00000103591,23.99562535,14.51207153
ENSG00000115977,1.94757546,2.226770673
ENSG00000087884,76.59893369,134.1034301
ENSG00000127837,25.23717056,29.08822855
ENSG00000129673,23.58919507,12.45132373
ENSG00000131043,16.14718063,18.03667195
ENSG00000205002,19.31270875,15.20437003
ENSG00000124608,12.36835713,12.50994904
ENSG00000266967,45.86260062,25.75003618
ENSG00000157426,18.46313625,8.469018218
ENSG00000149313,12.58571049,11.24628334
ENSG00000008311,3.9492272,4.617367604
ENSG00000275700,12.41595073,14.67729883
ENSG00000181409,4.52415764,5.915098593
ENSG00000183044,8.277391323,5.136756899
ENSG00000165029,7.370399726,8.1680751
ENSG00000154263,10.82418755,6.862635113
ENSG00000144452,6.206470745,3.896504846
ENSG00000179869,2.786484165,3.018439222
ENSG00000107331,4.262824372,6.167789477
ENSG00000167972,8.232757101,10.91949711
ENSG00000198691,5.909087491,11.79371008
ENSG00000154265,8.334901069,5.169513741
ENSG00000154262,7.08030756,6.276606981
ENSG00000064687,7.640742918,7.759576939
ENSG00000141338,11.90664541,12.52471479
ENSG00000154258,7.224361422,8.123237686
ENSG00000085563,8.101718732,8.200802354
ENSG00000135776,13.66343644,21.77238328
ENSG00000073734,5.869857025,5.669529902
ENSG00000005471,12.07461808,10.26212851
ENSG00000004846,9.990837114,4.34387048
ENSG00000115657,30.49903163,17.21261232
ENSG00000131269,12.87370032,9.782628824
ENSG00000197150,13.97959424,16.03229396
ENSG00000150967,13.092441,11.295485
ENSG00000103222,6.693574445,4.845449098
ENSG00000124574,6.873866612,4.818286635
ENSG00000121270,9.986610371,6.169230817
ENSG00000140798,8.654665516,12.28068045
ENSG00000023839,8.794431269,7.134073422
ENSG00000108846,6.828956888,4.827309999
ENSG00000125257,10.34707449,12.04080786
ENSG00000114770,8.083893863,5.943355089
ENSG00000091262,11.20821804,5.99525054
ENSG00000006071,12.55608186,10.29873744
ENSG00000069431,5.303994625,3.43214644
ENSG00000101986,13.01942586,12.11516784
ENSG00000173208,8.754470855,7.799937015
ENSG00000117528,12.41261201,14.80653477
ENSG00000119688,19.95374044,18.14469428
ENSG00000164163,19.90123095,18.05850295
ENSG00000204574,13.28183865,6.69104512
ENSG00000033050,11.03359624,9.015773398
ENSG00000161204,25.61450969,35.58580376
ENSG00000160179,4.933853254,5.161573359
ENSG00000118777,12.90457383,15.82346721
ENSG00000172350,23.10923742,20.63949067
ENSG00000138075,16.13668296,15.47225355
ENSG00000143921,6.334625326,5.266105085
ENSG00000143994,16.20454092,12.30518716
ENSG00000144827,12.69115237,10.51324129
ENSG00000106077,42.14015329,53.52431366
ENSG00000100997,42.95891526,52.23162587
ENSG00000131969,21.22574088,35.31282935
ENSG00000139826,9.20395645,10.38977819
ENSG00000248487,44.79109203,33.44280191
ENSG00000114779,27.49653642,20.68080245
ENSG00000168792,10.50871559,7.817134508
ENSG00000204427,18.21854805,23.98632058
ENSG00000183260,45.56728905,48.68621629
ENSG00000129968,9.957078733,10.82610888
ENSG00000107362,16.35817772,19.45432378
ENSG00000136379,16.49132831,28.42648567
ENSG00000140526,7.41047935,9.25526102
ENSG00000158201,32.2404392,37.43313623
ENSG00000100439,21.58795747,14.38781529
ENSG00000011198,9.261679079,9.424521834
ENSG00000163686,13.5998727,17.50719182
ENSG00000127220,32.33722496,19.17454804
ENSG00000136754,21.5499198,21.67740156
ENSG00000138443,2.640322201,3.123989671
ENSG00000108798,17.69826394,10.93524291
ENSG00000154175,8.736987016,8.749062144
ENSG00000097007,9.784051479,7.890152547
ENSG00000143322,7.922952483,8.057575028
ENSG00000099204,8.601333675,6.437350623
ENSG00000163995,13.68873142,15.79561901
ENSG00000173210,12.51095663,8.344675202
ENSG00000159842,8.758705282,8.395260292
ENSG00000174429,25.46174462,21.83301779
ENSG00000146386,58.2423504,60.076781
ENSG00000146109,22.55830547,13.02671152
ENSG00000114626,10.21745091,10.95917413
ENSG00000166016,13.28702718,9.465181729
ENSG00000060971,11.92856266,10.58979119
ENSG00000167315,15.43679732,10.69803916
ENSG00000278540,8.010378699,6.902336672
ENSG00000076555,9.392353343,11.92280934
ENSG00000111271,19.5477377,13.87668542
ENSG00000240303,27.96488049,27.60766953
ENSG00000151498,17.70537749,20.61809344
ENSG00000177646,12.45834167,7.499941637
ENSG00000115361,15.59582861,17.00585864
ENSG00000117054,8.509567575,6.840157371
ENSG00000122971,41.73574394,37.13504598
ENSG00000196177,11.10502822,10.99822196
ENSG00000072778,10.67192238,13.39849217
ENSG00000157766,6.094229361,4.631638048
ENSG00000072818,20.29724058,19.67289364
ENSG00000114331,8.786272537,7.295811222
ENSG00000131584,13.68391754,12.78061581
ENSG00000075239,29.43529469,27.76042107
ENSG00000120437,40.81428152,52.37661653
ENSG00000182827,10.21555728,5.778519851
ENSG00000181513,18.98567383,26.1137214
ENSG00000107897,15.07313543,15.38719787
ENSG00000230124,6.094316553,4.82303096
ENSG00000176244,15.79237841,13.09625054
ENSG00000110455,19.17272544,24.54437083
ENSG00000205126,32.94037905,44.05473861
ENSG00000102977,15.64474606,6.235624474
ENSG00000159640,8.793219382,5.516795542
ENSG00000130234,8.916206207,6.53252042
ENSG00000167769,51.41025148,29.59635453
ENSG00000177076,25.72588149,20.50518232
ENSG00000078124,8.907630444,10.37713743
ENSG00000087085,22.29593945,17.33713138
ENSG00000100813,11.95701464,8.697531129
ENSG00000144648,21.05004286,18.94210875
ENSG00000144476,19.81425367,24.08666319
ENSG00000129048,18.94325795,24.32309065
ENSG00000131473,16.18110514,14.55961415
ENSG00000153086,31.01000384,16.16862737
ENSG00000122729,7.685677764,6.949192544
ENSG00000100412,13.57897238,21.1824283
ENSG00000184227,45.40880654,39.25763467
ENSG00000162390,7.664742199,8.402349436
ENSG00000172497,23.20103319,20.52584882
ENSG00000112304,13.36673341,14.74360829
ENSG00000119673,30.51033514,17.65796935
ENSG00000177465,28.42676534,17.6078825
ENSG00000205669,39.10714957,27.82979635
ENSG00000097021,34.53646032,24.32874543
ENSG00000101473,23.98558363,32.61093097
ENSG00000123130,12.11640376,5.3271346
ENSG00000161533,6.491140004,6.910412691
ENSG00000168306,29.873345,27.66182921
ENSG00000087008,22.01348013,15.11940972
ENSG00000153093,23.61377794,16.81922472
ENSG00000143727,31.90932484,41.90078778
ENSG00000134575,22.6564742,32.21748713
ENSG00000102575,9.748482178,5.813658993
ENSG00000162836,13.23398908,8.511489418
ENSG00000100312,32.31925772,17.46764529
ENSG00000111644,30.14969182,38.61735268
ENSG00000134940,35.46166698,42.87136045
ENSG00000103740,12.46017092,8.597830561
ENSG00000130377,25.90202455,21.65974873
ENSG00000167107,21.07186283,22.32221376
ENSG00000176715,7.596176953,6.073002634
ENSG00000151726,14.79754922,6.900895632
ENSG00000123983,6.300009058,4.598020583
ENSG00000068366,9.873584382,9.367840097
ENSG00000197142,16.27382935,16.57479272
ENSG00000164398,5.216718581,5.583033685
ENSG00000166743,27.11611347,30.21067463
ENSG00000183747,21.29545307,47.59003648
ENSG00000066813,33.40813423,32.18422968
ENSG00000005187,18.67042154,12.15979457
ENSG00000215009,27.94133458,20.69547593
ENSG00000183549,20.87189418,19.71453679
ENSG00000154930,10.0558063,8.2025864
ENSG00000131069,18.94772695,18.2685528
ENSG00000111058,4.45077893,4.239182482
ENSG00000143632,30.86326786,35.29287939
ENSG00000107796,17.70682693,13.00672858
ENSG00000075624,23.27651702,22.50074185
ENSG00000169067,30.59849983,42.66367467
ENSG00000159251,22.9775759,31.92505754
ENSG00000184009,21.39029443,23.7996656
ENSG00000163017,24.69796045,19.95314458
ENSG00000288649,30.17578868,20.80612306
ENSG00000136518,48.02310847,62.52134138
ENSG00000077080,39.58591792,29.96233533
ENSG00000187003,48.33789274,44.69235609
ENSG00000148156,50.40747899,54.6564925
ENSG00000117148,17.8370814,49.16261976
ENSG00000181786,34.51838204,24.66903913
ENSG00000072110,11.67749601,10.36327713
ENSG00000077522,4.807775419,6.642207958
ENSG00000130402,14.1280749,11.17318995
ENSG00000131966,15.38742297,12.53978815
ENSG00000138107,15.95199222,17.76808143
ENSG00000115073,11.71203301,10.67583697
ENSG00000138071,12.15038484,14.96097855
ENSG00000115091,10.21895821,10.69310816
ENSG00000133627,15.11248865,13.99252141
ENSG00000106526,9.801175231,11.81051171
ENSG00000101442,30.00096666,50.35976433
ENSG00000075089,29.64425937,19.4685325
ENSG00000113812,16.22359448,12.14742735
ENSG00000123165,42.06965962,58.78247461
ENSG00000169717,31.81160275,15.49394483
ENSG00000184378,32.263498,35.82563868
