Task,Sample,Expression
002,Sample001,34.9374834
002,Sample002,41.9595223
002,Sample003,35.63030985
002,Sample004,38.00016881
002,Sample005,28.81274556
002,Sample006,36.84288184
002,Sample007,42.17384173
