GeneID,healthy,diseased
ENSG00000173110,4.407,2.537
ENSG00000203747,47.82,26.1
ENSG00000162747,50.26,27.43
ENSG00000118217,17.88,15.28
ENSG00000162745,4.672,4.418
ENSG00000162733,0.09328,0.2636
ENSG00000143149,262.4,307.1
ENSG00000143183,5.185,6.745
ENSG00000143162,200.1,229.2
ENSG00000198771,2.006,3.562
ENSG00000197965,36.99,46.91
ENSG00000143158,251.4,242.3
ENSG00000143185,17.78,5.798
ENSG00000143184,5.684,2.425
ENSG00000143153,121.2,141.9
ENSG00000198734,13.21,13.46
ENSG00000174175,0.3239,1.22
ENSG00000188404,1.434,2.927
ENSG00000007908,0.5952,0.9811
ENSG00000000460,3.637,2.327
ENSG00000007933,789.9,666.8
ENSG00000010932,18.04,15.79
ENSG00000117560,2.63,3.716
ENSG00000116199,3.51,4.263
ENSG00000135821,128.2,184.5
ENSG00000058085,1.708,1.724
ENSG00000116701,88.24,82.42
ENSG00000116741,33.93,39.48
ENSG00000000971,1507.0,1299.0
ENSG00000116785,0.2615,0.3695
ENSG00000244414,2738.0,2420.0
ENSG00000177888,11.82,11.6
ENSG00000081237,5.753,5.712
ENSG00000118193,0.3381,0.3412
ENSG00000118200,9.799,7.362
ENSG00000174307,2.97,7.631
ENSG00000159176,85.73,85.64
ENSG00000117139,0.141,0.09958
ENSG00000159388,17.18,20.1
ENSG00000196550,0.4924,0.5964
ENSG00000263528,1.071,0.1513
ENSG00000143479,5.585,6.717
ENSG00000162889,137.4,143.9
ENSG00000136634,4.48,4.998
ENSG00000162894,12.07,3.908
ENSG00000196352,10.45,14.29
ENSG00000197721,4.834,6.533
ENSG00000196878,2.036,0.8389
ENSG00000123689,187.8,146.3
ENSG00000117650,0.4693,1.658
ENSG00000123684,2.653,4.857
ENSG00000143476,1.064,1.272
ENSG00000066027,0.3314,0.6243
ENSG00000117691,125.5,86.56
ENSG00000162772,3.177,1.738
ENSG00000117724,0.2215,0.4174
ENSG00000136628,2.677,1.446
ENSG00000067704,53.46,67.54
ENSG00000143514,0.1546,1.092
ENSG00000143748,3.941,0.8735
ENSG00000143815,15.97,9.776
ENSG00000143742,412.4,463.6
ENSG00000143819,3839.0,4258.0
ENSG00000182827,16.62,23.18
ENSG00000143799,1.449,1.092
ENSG00000143801,13.34,11.8
ENSG00000163050,75.64,73.09
ENSG00000181218,6.2,4.38
ENSG00000168118,12.15,6.798
ENSG00000069248,22.65,15.43
ENSG00000135776,8.617,10.13
ENSG00000135775,33.43,30.56
ENSG00000143633,39.78,46.71
ENSG00000135750,0.4193,3.752
ENSG00000168275,45.02,56.49
ENSG00000059588,7.975,4.54
ENSG00000173726,25.06,37.72
ENSG00000188739,26.81,34.04
ENSG00000054267,14.16,11.93
ENSG00000143669,0.1682,0.2906
ENSG00000086619,16.48,14.42
ENSG00000116977,6.462,6.274
ENSG00000119285,1.091,1.284
ENSG00000077522,0.2255,0.1062
ENSG00000116984,0.6664,1.177
ENSG00000244020,434.3,421.3
ENSG00000054277,10.09,8.266
ENSG00000143653,654.6,704.2
ENSG00000143727,55.11,62.59
ENSG00000182551,179.0,189.4
ENSG00000171863,794.5,833.9
ENSG00000134326,2.795,1.358
ENSG00000134321,0.5166,0.146
ENSG00000115738,362.5,329.5
ENSG00000119185,1.65,2.415
ENSG00000171848,0.5085,0.2395
ENSG00000143870,350.8,335.2
ENSG00000162975,1.509,0.7109
ENSG00000196208,0.8516,0.5501
ENSG00000178295,5.109,3.69
ENSG00000115884,285.5,325.0
ENSG00000143869,2.157,2.11
ENSG00000115129,28.93,25.78
ENSG00000119772,2.498,1.519
ENSG00000084754,111.9,104.1
ENSG00000228474,2537.0,2419.0
ENSG00000138085,269.9,340.0
ENSG00000115226,0.8033,0.2838
ENSG00000171174,8.524,9.999
ENSG00000213639,143.0,156.6
ENSG00000163811,32.45,55.15
ENSG00000162961,34.23,41.79
ENSG00000115760,8.409,9.089
ENSG00000150938,4.211,6.408
ENSG00000171055,181.9,237.8
ENSG00000115816,51.81,46.26
ENSG00000138061,4.326,6.744
ENSG00000115875,82.23,66.03
ENSG00000115904,7.532,8.013
ENSG00000138032,22.83,26.21
ENSG00000116062,6.838,6.966
ENSG00000138081,0.9724,1.999
ENSG00000138039,0.1049,0.1482
ENSG00000115239,4.871,2.949
ENSG00000143942,5.183,5.289
ENSG00000143947,86.23,117.1
ENSG00000170340,0.9421,7.036
ENSG00000014641,63.06,56.08
ENSG00000115902,4.738,3.001
ENSG00000138069,288.1,347.9
ENSG00000198369,13.75,13.85
ENSG00000197223,15.67,9.32
ENSG00000198380,0.651,0.1226
ENSG00000143977,51.81,53.64
ENSG00000116096,16.91,25.41
ENSG00000135624,166.5,160.5
ENSG00000144034,15.48,14.75
ENSG00000144048,60.04,56.66
ENSG00000124356,0.9705,0.9142
ENSG00000114978,46.99,42.95
ENSG00000065911,6.332,6.68
ENSG00000204822,15.5,13.14
ENSG00000115364,11.35,12.84
ENSG00000168906,245.6,181.6
ENSG00000115486,67.09,56.78
ENSG00000115525,5.995,5.057
ENSG00000115548,5.203,6.827
ENSG00000153563,3.349,2.07
ENSG00000187627,0.5657,0.9515
ENSG00000183281,9.957,2.525
ENSG00000125551,17.08,5.402
ENSG00000185304,0.5707,0.9762
ENSG00000163586,23040.0,31830.0
ENSG00000153574,1.272,2.996
ENSG00000121152,3.371,0.8987
ENSG00000135976,0.8286,0.5321
ENSG00000196912,1.033,0.6385
ENSG00000115446,222.0,303.7
ENSG00000115514,60.98,53.51
ENSG00000071054,24.13,27.03
ENSG00000115594,43.92,42.36
ENSG00000115604,9.864,9.178
ENSG00000115607,0.6106,0.08627
ENSG00000115641,0.06968,1.083
ENSG00000071051,0.7593,1.475
ENSG00000153165,0.1036,0.7322
ENSG00000169756,1.971,1.519
ENSG00000153201,0.244,0.4597
ENSG00000186522,38.99,50.88
ENSG00000256977,2.274,1.701
ENSG00000256671,2.822,2.742
ENSG00000153094,14.42,8.673
ENSG00000125538,8.808,3.803
ENSG00000125618,0.9479,0.2679
ENSG00000136682,33.98,31.61
ENSG00000144118,2.298,3.653
ENSG00000222014,11.01,9.013
ENSG00000233087,9.329,7.553
ENSG00000153086,0.3321,0.1173
ENSG00000121966,39.27,18.99
ENSG00000144228,16.74,17.74
ENSG00000075884,8.131,3.102
ENSG00000169554,15.63,15.11
ENSG00000115947,2.294,2.084
ENSG00000168280,0.5269,0.6768
ENSG00000168288,0.2761,1.17
ENSG00000153234,1.303,0.3068
ENSG00000115165,4.974,5.21
ENSG00000115233,180.3,195.8
ENSG00000115290,4.883,2.25
ENSG00000073734,4.325,6.608
ENSG00000138385,178.5,226.3
ENSG00000128708,27.0,26.62
ENSG00000128656,0.3982,0.422
ENSG00000128710,0.4261,0.3011
ENSG00000170166,0.2242,0.2112
ENSG00000116044,92.45,116.4
ENSG00000168542,0.4901,0.7914
ENSG00000204262,2.972,2.411
ENSG00000151689,48.65,53.62
ENSG00000115415,21.01,28.91
ENSG00000138378,11.04,5.249
ENSG00000196950,0.8009,2.066
ENSG00000144381,313.0,371.2
ENSG00000115541,1353.0,1491.0
ENSG00000163535,1.778,1.256
ENSG00000082153,221.0,231.3
ENSG00000013441,23.32,23.29
ENSG00000119013,295.9,314.9
ENSG00000003402,2.753,1.69
ENSG00000003400,2.576,3.403
ENSG00000064012,24.48,38.03
ENSG00000115993,17.18,11.77
ENSG00000116030,17.27,35.14
ENSG00000055044,111.8,101.9
ENSG00000114942,893.5,1128.0
ENSG00000118260,6.211,4.409
ENSG00000078018,0.1406,0.9437
ENSG00000115361,2.702,2.324
ENSG00000138363,52.53,70.66
ENSG00000115414,3373.0,2722.0
ENSG00000079246,213.9,239.0
ENSG00000115657,7.352,3.827
ENSG00000135919,30.4,65.17
ENSG00000169047,5.764,3.295
ENSG00000135899,2.399,5.597
ENSG00000135932,50.43,48.94
ENSG00000242366,371.9,411.2
ENSG00000242515,373.6,413.1
ENSG00000241119,775.6,777.0
ENSG00000244122,396.2,427.9
ENSG00000167165,357.4,393.7
ENSG00000288705,384.9,423.1
ENSG00000244474,375.5,414.0
ENSG00000288702,392.9,433.1
ENSG00000241635,383.2,420.5
ENSG00000163359,0.4403,0.09571
ENSG00000063660,7.003,4.744
ENSG00000115694,19.84,10.75
ENSG00000144455,21.8,15.06
ENSG00000150995,3.192,3.183
ENSG00000134107,28.06,28.91
ENSG00000134109,25.07,21.87
ENSG00000187288,66.74,49.65
ENSG00000157014,0.4671,1.54
ENSG00000197548,8.944,8.713
ENSG00000144560,16.44,17.63
ENSG00000132170,54.89,49.63
ENSG00000154743,7.549,8.816
ENSG00000144713,112.2,115.0
ENSG00000154767,3.716,1.527
ENSG00000131370,0.7327,0.1294
ENSG00000182568,5.149,4.651
ENSG00000114166,28.29,34.12
ENSG00000174748,158.8,165.6
ENSG00000151090,13.13,11.19
ENSG00000163508,4.936,1.039
ENSG00000163513,38.36,30.44
ENSG00000170266,0.4012,2.646
ENSG00000188167,0.2675,1.764
ENSG00000170275,73.14,78.81
ENSG00000170248,100.6,97.93
ENSG00000093167,8.096,7.911
ENSG00000008226,19.87,31.37
ENSG00000060971,63.18,99.74
ENSG00000172939,6.613,6.579
ENSG00000157036,7.177,5.983
ENSG00000144655,0.9398,1.328
ENSG00000168028,5.657,4.232
ENSG00000168036,216.8,232.5
ENSG00000160746,10.74,14.41
ENSG00000211456,48.26,30.67
ENSG00000163823,24.99,23.19
ENSG00000173473,9.316,8.462
ENSG00000164047,7.805,70.76
ENSG00000164048,1.712,1.452
ENSG00000010256,383.2,397.2
ENSG00000178467,3.193,2.375
ENSG00000172053,52.87,32.14
ENSG00000233276,483.3,526.8
ENSG00000067560,822.5,840.4
ENSG00000145022,8.951,7.083
ENSG00000173402,42.33,31.63
ENSG00000004534,33.18,31.18
ENSG00000114353,77.2,81.9
ENSG00000214706,29.89,32.96
ENSG00000068028,33.64,33.78
ENSG00000114388,42.92,32.34
ENSG00000114738,11.7,8.612
ENSG00000259956,0.2901,0.08199
ENSG00000162244,807.8,880.5
ENSG00000023330,170.6,136.9
ENSG00000247596,193.6,197.2
ENSG00000010322,19.9,20.7
ENSG00000213533,8.223,2.761
ENSG00000163932,29.05,25.8
ENSG00000168374,1.927,2.042
ENSG00000163686,46.56,44.22
ENSG00000168291,367.9,419.6
ENSG00000151276,6.871,5.564
ENSG00000144744,33.38,32.81
ENSG00000083937,22.93,41.61
ENSG00000184500,281.0,254.4
ENSG00000080819,11.27,11.97
ENSG00000184220,11.78,11.93
ENSG00000154174,7.5,7.418
ENSG00000081154,5.8,8.009
ENSG00000114391,993.9,1051.0
ENSG00000144802,46.92,31.21
ENSG00000114423,1.387,0.3459
ENSG00000163519,1.05,2.966
ENSG00000144848,49.56,70.73
ENSG00000138459,47.14,51.82
ENSG00000163607,14.37,16.69
ENSG00000121579,0.566,0.5331
ENSG00000113845,57.31,40.94
ENSG00000121594,1.123,0.3969
ENSG00000144852,46.11,46.69
ENSG00000082701,9.398,8.606
ENSG00000163430,0.05513,0.4674
ENSG00000114013,2.629,2.972
ENSG00000036828,0.02961,0.04184
ENSG00000163840,22.46,16.85
ENSG00000173193,16.78,16.0
ENSG00000065485,30.22,20.03
ENSG00000065534,6.877,8.754
ENSG00000082781,26.33,32.67
ENSG00000180767,21.65,17.57
ENSG00000073111,0.1085,0.92
ENSG00000175792,14.97,22.29
ENSG00000163902,383.7,346.9
ENSG00000129071,27.02,26.17
ENSG00000196455,7.433,10.5
ENSG00000017260,51.12,37.54
ENSG00000114686,40.06,28.62
ENSG00000163781,5.645,6.662
ENSG00000114054,40.88,40.63
ENSG00000158092,16.1,20.37
ENSG00000158234,40.28,33.44
ENSG00000184432,0.5176,0.8359
ENSG00000120756,37.13,67.44
ENSG00000188313,59.2,52.77
ENSG00000174946,2.839,0.4223
ENSG00000174944,0.133,0.4699
ENSG00000181631,3.892,8.053
ENSG00000152601,68.97,69.09
ENSG00000163659,43.84,41.13
ENSG00000113810,6.31,8.165
ENSG00000008952,9.433,14.59
ENSG00000163581,262.5,251.2
ENSG00000121858,38.48,34.36
ENSG00000121879,2.092,2.502
ENSG00000136518,91.16,71.37
ENSG00000058063,5.782,3.774
ENSG00000078081,0.3218,0.2728
ENSG00000114796,14.52,12.85
ENSG00000114770,10.82,6.414
ENSG00000161203,8.584,6.738
ENSG00000161204,4.582,2.035
ENSG00000175166,3.439,5.219
ENSG00000114867,88.45,96.86
ENSG00000163882,155.9,110.4
ENSG00000163923,14.24,4.47
ENSG00000114315,59.3,41.38
ENSG00000176945,6.167,8.496
ENSG00000163959,245.7,201.3
ENSG00000114503,0.3474,0.1963
ENSG00000161267,16.03,13.95
ENSG00000163950,8.341,7.669
ENSG00000013810,3.864,3.309
ENSG00000109736,5.926,5.503
ENSG00000163956,1.073,0.04332
ENSG00000132406,23.91,32.53
ENSG00000109501,6.603,2.296
ENSG00000002549,277.1,259.1
ENSG00000109805,0.4981,0.4692
ENSG00000109819,1.553,2.329
ENSG00000109606,111.2,117.9
ENSG00000174125,2.018,1.178
ENSG00000163682,179.5,198.0
ENSG00000109814,703.1,659.6
ENSG00000078140,95.78,98.86
ENSG00000121892,0.6721,0.6105
ENSG00000163694,3.042,1.251
ENSG00000163697,3.355,3.628
ENSG00000109184,16.93,21.07
ENSG00000163069,13.03,11.8
ENSG00000109220,4.917,4.314
ENSG00000128050,37.31,44.21
ENSG00000174780,26.34,39.89
ENSG00000163453,0.476,0.3363
ENSG00000135220,5.339,7.718
ENSG00000171234,2666.0,2880.0
ENSG00000135226,1.414,1.427
ENSG00000173597,36.11,42.58
ENSG00000156136,9.049,9.536
ENSG00000163631,16410.0,19840.0
ENSG00000081051,7.922,21.72
ENSG00000169429,105.0,176.9
ENSG00000163739,719.6,765.4
ENSG00000163737,2.145,6.568
ENSG00000163736,0.2941,2.078
ENSG00000081041,55.85,43.35
