,reaction_expression
MAR03905,40.2
MAR03907,19.7
MAR04097,17.0
MAR04099,73.4
MAR04108,17.0
MAR04133,17.0
MAR04281_f,51.900000000000006
MAR04388_f,53.7
MAR04283,2.7
MAR08357,55.4
MAR04379,45.6
MAR04301,45.6
MAR04355,20.6
MAR04358,37.6
MAR04360,11.6
MAR04363_f,53.7
MAR04365_f,23.300000000000004
MAR04368_f,24.2
MAR04370,71.6
MAR04371,23.300000000000004
MAR04372,71.6
MAR04373_f,82.3
MAR04375_f,68.9
MAR04377,-1.0
MAR04381_f,17.0
MAR04391_f,17.9
MAR04394,53.699999999999996
MAR04396_f,9.0
MAR04521,-1.0
MAR06412,8.9
MAR07745_f,4.5
MAR07747,30.4
MAR08360,16.1
MAR08652,-1.0
MAR08757,1.8
MAR03989,67.1
MAR04122,7.2
MAR04837,8.9
MAR05395,6.3
MAR05396,10.8
MAR09727,13.5
MAR05397,83.2
MAR05398,30.4
MAR05399,22.4
MAR05400,22.4
MAR05401,30.4
MAR08568,10.7
MAR08569,10.7
MAR08570,10.7
MAR08571,10.7
MAR08572,10.7
MAR08573,10.7
MAR08574,10.7
MAR08575,10.7
MAR08576,10.7
MAR08577,10.7
MAR08578,10.7
MAR08579,10.7
MAR08581,10.7
MAR08591,34.9
MAR08592,19.7
MAR08580,10.7
MAR08582,10.7
MAR08587,34.9
MAR08589,19.7
MAR08583,-1.0
MAR08584,-1.0
MAR08585,19.7
MAR03944,59.9
MAR04128_f,5.4
MAR04130,60.8
MAR04131_f,5.4
MAR04132,5.4
MAR04303,54.599999999999994
MAR04414,66.2
MAR04415,1.8
MAR04416,26.9
MAR04774_f,45.6
MAR04775_f,45.6
MAR04831_f,-1.0
MAR04832_f,1.8
MAR07674,33.1
MAR08761,-1.0
MAR08762_f,68.9
MAR08764,-1.0
MAR08766_f,13.4
MAR08767,5.4
MAR00454,-1.0
MAR04297,53.699999999999996
MAR04310,-1.0
MAR04315_f,0.9
MAR04316_f,13.4
MAR04317,57.300000000000004
MAR04318,57.300000000000004
MAR04319,52.8
MAR04320,57.300000000000004
MAR04356,68.9
MAR04383_f,3.6
MAR04385,26.0
MAR04386,6.300000000000001
MAR04387,0.9
MAR04399,136.9
MAR04400,2.7
MAR04401,-1.0
MAR04402_f,5.4
MAR04403,-1.0
MAR04490,52.8
MAR04706,71.6
MAR08768,2.7
MAR04590,1.8
MAR04591,11.7
MAR04592_f,13.4
MAR04593,0.9
MAR04594,-1.0
MAR04595_f,17.0
MAR08341,38.5
MAR08342_f,-1.0
MAR08344_f,19.7
MAR08352_f,12.5
