Task,Sample,Expression
004,Sample001,102.2244885
004,Sample002,103.914196
004,Sample003,100.2448614
004,Sample004,104.3856805
004,Sample005,96.33522898
004,Sample006,100.7950884
004,Sample007,68.78757653
