Task,Sample,Expression
003,Sample001,1322.13465514
003,Sample002,1290.11140608
003,Sample003,1294.22946724
003,Sample004,1292.66203261
003,Sample005,1343.18737049
003,Sample006,1300.76090938
003,Sample007,1293.204313388
