Task,Sample,Expression
003,Sample001,137.95453513
003,Sample002,128.60517845
003,Sample003,136.48175682
003,Sample004,136.03898388
003,Sample005,144.75617946
003,Sample006,131.5789287
003,Sample007,125.27799207
004,Sample001,137.95453513
004,Sample002,128.60517845
004,Sample003,136.48175682
004,Sample004,136.03898388
004,Sample005,144.75617946
004,Sample006,131.5789287
004,Sample007,125.27799207
