,sample_1,sample_2,sample_3
"('MAR02637', 'ENSG00000109181 or ENSG00000135226 or ENSG00000156096 or ENSG00000167165 or ENSG00000171234 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474')","{'ENSG00000196620': ('ENSG00000196620', 1, 0.2)}","{'ENSG00000196620': ('ENSG00000196620', 1, 139.0)}","{'ENSG00000196620': ('ENSG00000196620', 1, 3.9)}"
"('MAR02639', 'ENSG00000130234')",{},{},{}
"('MAR02641', 'ENSG00000130234')",{},{},{}
"('MAR02643', 'ENSG00000130234')",{},{},{}
"('MAR02645', 'ENSG00000115705 or ENSG00000117592')","{'ENSG00000117592': ('ENSG00000117592', 1, 568.1)}","{'ENSG00000117592': ('ENSG00000117592', 1, 1371.6)}","{'ENSG00000117592': ('ENSG00000117592', 1, 411.8)}"
"('MAR02647', 'ENSG00000167419')",{},{},{}
"('MAR02694', 'ENSG00000005381 or ENSG00000117592')","{'ENSG00000117592': ('ENSG00000117592', 1, 568.1)}","{'ENSG00000117592': ('ENSG00000117592', 1, 1371.6)}","{'ENSG00000117592': ('ENSG00000117592', 1, 411.8)}"
"('MAR02696', 'ENSG00000005381')",{},{},{}
"('MAR02698', 'ENSG00000123213')","{'ENSG00000123213': ('ENSG00000123213', 1, 14.8)}","{'ENSG00000123213': ('ENSG00000123213', 1, 28.1)}","{'ENSG00000123213': ('ENSG00000123213', 1, 12.7)}"
"('MAR02721', '')",{},{},{}
