,sample_1,sample_2,sample_3
"('MAR02314', 'ENSG00000068366 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19924575738529224, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.19987429289754868, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5854808296668761, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.01288497800125707, 4.1), 'ENSG00000197142': ('ENSG00000197142', 0.0025141420490257696, 0.8)}","{'ENSG00000068366': ('ENSG00000068366', 0.028110047846889946, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.03938824333561175, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.8552631578947367, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.006578947368421052, 7.7), 'ENSG00000197142': ('ENSG00000197142', 0.0706596035543404, 82.7)}","{'ENSG00000068366': ('ENSG00000068366', 0.06650485436893203, 13.7), 'ENSG00000123983': ('ENSG00000123983', 0.6349514563106797, 130.8), 'ENSG00000151726': ('ENSG00000151726', 0.23689320388349508, 48.8), 'ENSG00000164398': ('ENSG00000164398', 0.04757281553398058, 9.8), 'ENSG00000197142': ('ENSG00000197142', 0.014077669902912619, 2.9)}"
"('MAR02316', '')",{},{},{}
"('MAR02318', '')",{},{},{}
"('MAR02320', '')",{},{},{}
"('MAR02322', 'ENSG00000151093')","{'ENSG00000151093': ('ENSG00000151093', 1, 14.6)}","{'ENSG00000151093': ('ENSG00000151093', 1, 18.6)}","{'ENSG00000151093': ('ENSG00000151093', 1, 4.9)}"
"('MAR02323', 'ENSG00000169710')","{'ENSG00000169710': ('ENSG00000169710', 1, 1.6)}","{'ENSG00000169710': ('ENSG00000169710', 1, 175.2)}","{'ENSG00000169710': ('ENSG00000169710', 1, 9.8)}"
"('MAR02325', 'ENSG00000169710')","{'ENSG00000169710': ('ENSG00000169710', 1, 1.6)}","{'ENSG00000169710': ('ENSG00000169710', 1, 175.2)}","{'ENSG00000169710': ('ENSG00000169710', 1, 9.8)}"
"('MAR02327', 'ENSG00000169710')","{'ENSG00000169710': ('ENSG00000169710', 1, 1.6)}","{'ENSG00000169710': ('ENSG00000169710', 1, 175.2)}","{'ENSG00000169710': ('ENSG00000169710', 1, 9.8)}"
"('MAR02329', 'ENSG00000152463')",{},{},{}
"('MAR02331', '')",{},{},{}
"('MAR02333', '')",{},{},{}
"('MAR02335', '')",{},{},{}
"('MAR02337', 'ENSG00000116133')","{'ENSG00000116133': ('ENSG00000116133', 1, 3.1)}","{'ENSG00000116133': ('ENSG00000116133', 1, 825.3)}","{'ENSG00000116133': ('ENSG00000116133', 1, 2.0)}"
"('MAR02339', 'ENSG00000147155')","{'ENSG00000147155': ('ENSG00000147155', 1, 59.7)}","{'ENSG00000147155': ('ENSG00000147155', 1, 634.0)}","{'ENSG00000147155': ('ENSG00000147155', 1, 6.8)}"
"('MAR02340', '')",{},{},{}
"('MAR02341', 'ENSG00000170266')","{'ENSG00000170266': ('ENSG00000170266', 1, 8.5)}","{'ENSG00000170266': ('ENSG00000170266', 1, 35.2)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.0)}"
"('MAR02346', '')",{},{},{}
"('MAR02351', 'ENSG00000143324')","{'ENSG00000143324': ('ENSG00000143324', 1, 60.7)}","{'ENSG00000143324': ('ENSG00000143324', 1, 9.8)}","{'ENSG00000143324': ('ENSG00000143324', 1, 9.8)}"
"('MAR02352', '(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)')","{'ENSG00000048392': ('ENSG00000048392', 0.25, 32.2), 'ENSG00000100348': ('ENSG00000100348', 0.5, 127.5), 'ENSG00000167325': ('ENSG00000167325', 0.25, 38.6), 'ENSG00000136810': ('ENSG00000136810', 0.5, 175.0)}","{'ENSG00000048392': ('ENSG00000048392', 0.25, 19.5), 'ENSG00000100348': ('ENSG00000100348', 0.5, 124.9), 'ENSG00000167325': ('ENSG00000167325', 0.25, 16.8), 'ENSG00000136810': ('ENSG00000136810', 0.5, 1056.7)}","{'ENSG00000048392': ('ENSG00000048392', 0.25, 55.6), 'ENSG00000100348': ('ENSG00000100348', 0.5, 61.5), 'ENSG00000167325': ('ENSG00000167325', 0.25, 24.4), 'ENSG00000136810': ('ENSG00000136810', 0.5, 123.0)}"
"('MAR02357', '(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)')","{'ENSG00000048392': ('ENSG00000048392', 0.25, 32.2), 'ENSG00000100348': ('ENSG00000100348', 0.5, 127.5), 'ENSG00000167325': ('ENSG00000167325', 0.25, 38.6), 'ENSG00000136810': ('ENSG00000136810', 0.5, 175.0)}","{'ENSG00000048392': ('ENSG00000048392', 0.25, 19.5), 'ENSG00000100348': ('ENSG00000100348', 0.5, 124.9), 'ENSG00000167325': ('ENSG00000167325', 0.25, 16.8), 'ENSG00000136810': ('ENSG00000136810', 0.5, 1056.7)}","{'ENSG00000048392': ('ENSG00000048392', 0.25, 55.6), 'ENSG00000100348': ('ENSG00000100348', 0.5, 61.5), 'ENSG00000167325': ('ENSG00000167325', 0.25, 24.4), 'ENSG00000136810': ('ENSG00000136810', 0.5, 123.0)}"
"('MAR02360', '')",{},{},{}
"('MAR02375', '')",{},{},{}
"('MAR02377', '')",{},{},{}
"('MAR02379', '')",{},{},{}
"('MAR02381', '(ENSG00000138029 and ENSG00000167315) or (ENSG00000060971 and ENSG00000138029)')","{'ENSG00000138029': ('ENSG00000138029', 0.019035792393661075, 1271.8), 'ENSG00000167315': ('ENSG00000167315', 0.980587356893977, 197.0), 'ENSG00000060971': ('ENSG00000060971', 0.019412643106022896, 3.9)}","{'ENSG00000138029': ('ENSG00000138029', 0.25, 286.4), 'ENSG00000167315': ('ENSG00000167315', 0.5, 954.2), 'ENSG00000060971': ('ENSG00000060971', 0.5, 782.2)}","{'ENSG00000138029': ('ENSG00000138029', 0.2472972720216218, 108.3), 'ENSG00000167315': ('ENSG00000167315', 0.5519877675840978, 36.1), 'ENSG00000060971': ('ENSG00000060971', 0.4480122324159021, 29.3)}"
"('MAR02382', '')",{},{},{}
"('MAR02385', 'ENSG00000165029')","{'ENSG00000165029': ('ENSG00000165029', 1, 10.7)}","{'ENSG00000165029': ('ENSG00000165029', 1, 135.0)}","{'ENSG00000165029': ('ENSG00000165029', 1, 33.2)}"
"('MAR02386', 'ENSG00000165029')","{'ENSG00000165029': ('ENSG00000165029', 1, 10.7)}","{'ENSG00000165029': ('ENSG00000165029', 1, 135.0)}","{'ENSG00000165029': ('ENSG00000165029', 1, 33.2)}"
"('MAR02388', 'ENSG00000131389')","{'ENSG00000131389': ('ENSG00000131389', 1, 3.0)}","{'ENSG00000131389': ('ENSG00000131389', 1, 0.3)}","{'ENSG00000131389': ('ENSG00000131389', 1, 45.9)}"
"('MAR02396', 'ENSG00000134538')",{},{},{}
"('MAR02398', 'ENSG00000134538')",{},{},{}
"('MAR02400', 'ENSG00000134538')",{},{},{}
"('MAR02402', 'ENSG00000174640')",{},{},{}
"('MAR02404', 'ENSG00000184999')",{},{},{}
"('MAR02405', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02406', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02413', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02414', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02416', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02418', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02420', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02422', 'ENSG00000100075')","{'ENSG00000100075': ('ENSG00000100075', 1, 7.0)}","{'ENSG00000100075': ('ENSG00000100075', 1, 199.4)}","{'ENSG00000100075': ('ENSG00000100075', 1, 4.9)}"
"('MAR02424', 'ENSG00000101986')","{'ENSG00000101986': ('ENSG00000101986', 1, 0.9)}","{'ENSG00000101986': ('ENSG00000101986', 1, 6.5)}","{'ENSG00000101986': ('ENSG00000101986', 1, 8.8)}"
"('MAR02425', 'ENSG00000101986')","{'ENSG00000101986': ('ENSG00000101986', 1, 0.9)}","{'ENSG00000101986': ('ENSG00000101986', 1, 6.5)}","{'ENSG00000101986': ('ENSG00000101986', 1, 8.8)}"
"('MAR02427', '')",{},{},{}
"('MAR02429', '')",{},{},{}
"('MAR02431', '')",{},{},{}
"('MAR02432', '')",{},{},{}
"('MAR02471', '')",{},{},{}
"('MAR02473', '')",{},{},{}
"('MAR02474', '')",{},{},{}
"('MAR02476', '')",{},{},{}
"('MAR02477', '')",{},{},{}
"('MAR02479', '')",{},{},{}
"('MAR02481', '')",{},{},{}
"('MAR02483', 'ENSG00000133027')","{'ENSG00000133027': ('ENSG00000133027', 1, 14.0)}","{'ENSG00000133027': ('ENSG00000133027', 1, 213.1)}","{'ENSG00000133027': ('ENSG00000133027', 1, 8.8)}"
"('MAR02485', 'ENSG00000133027')","{'ENSG00000133027': ('ENSG00000133027', 1, 14.0)}","{'ENSG00000133027': ('ENSG00000133027', 1, 213.1)}","{'ENSG00000133027': ('ENSG00000133027', 1, 8.8)}"
"('MAR02487', 'ENSG00000097021 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.20454545454545456, 9.0), 'ENSG00000119673': ('ENSG00000119673', 0.7954545454545454, 35.0)}","{'ENSG00000097021': ('ENSG00000097021', 0.3317757009345794, 14.2), 'ENSG00000119673': ('ENSG00000119673', 0.6682242990654207, 28.6)}","{'ENSG00000097021': ('ENSG00000097021', 0.5, 1.0), 'ENSG00000119673': ('ENSG00000119673', 0.5, 1.0)}"
"('MAR02488', 'ENSG00000101473 or ENSG00000136881 or ENSG00000177465')","{'ENSG00000101473': ('ENSG00000101473', 0.950354609929078, 13.4), 'ENSG00000136881': ('ENSG00000136881', 0.04964539007092198, 0.7)}","{'ENSG00000101473': ('ENSG00000101473', 0.02404207362885049, 25.6), 'ENSG00000136881': ('ENSG00000136881', 0.9759579263711496, 1039.2)}","{'ENSG00000101473': ('ENSG00000101473', 0.8512820512820514, 16.6), 'ENSG00000136881': ('ENSG00000136881', 0.14871794871794872, 2.9)}"
"('MAR02492', '')",{},{},{}
"('MAR02494', 'ENSG00000134013')","{'ENSG00000134013': ('ENSG00000134013', 1, 0.9)}","{'ENSG00000134013': ('ENSG00000134013', 1, 0.3)}","{'ENSG00000134013': ('ENSG00000134013', 1, 2.0)}"
"('MAR02496', 'ENSG00000100865')","{'ENSG00000100865': ('ENSG00000100865', 1, 36.4)}","{'ENSG00000100865': ('ENSG00000100865', 1, 53.7)}","{'ENSG00000100865': ('ENSG00000100865', 1, 14.6)}"
"('MAR02498', 'ENSG00000149929')","{'ENSG00000149929': ('ENSG00000149929', 1, 39.0)}","{'ENSG00000149929': ('ENSG00000149929', 1, 19.1)}","{'ENSG00000149929': ('ENSG00000149929', 1, 25.4)}"
"('MAR02500', 'ENSG00000097021 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.20454545454545456, 9.0), 'ENSG00000119673': ('ENSG00000119673', 0.7954545454545454, 35.0)}","{'ENSG00000097021': ('ENSG00000097021', 0.3317757009345794, 14.2), 'ENSG00000119673': ('ENSG00000119673', 0.6682242990654207, 28.6)}","{'ENSG00000097021': ('ENSG00000097021', 0.5, 1.0), 'ENSG00000119673': ('ENSG00000119673', 0.5, 1.0)}"
"('MAR02502', 'ENSG00000101473 or ENSG00000136881 or ENSG00000177465')","{'ENSG00000101473': ('ENSG00000101473', 0.950354609929078, 13.4), 'ENSG00000136881': ('ENSG00000136881', 0.04964539007092198, 0.7)}","{'ENSG00000101473': ('ENSG00000101473', 0.02404207362885049, 25.6), 'ENSG00000136881': ('ENSG00000136881', 0.9759579263711496, 1039.2)}","{'ENSG00000101473': ('ENSG00000101473', 0.8512820512820514, 16.6), 'ENSG00000136881': ('ENSG00000136881', 0.14871794871794872, 2.9)}"
"('MAR02504', 'ENSG00000097021 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.20454545454545456, 9.0), 'ENSG00000119673': ('ENSG00000119673', 0.7954545454545454, 35.0)}","{'ENSG00000097021': ('ENSG00000097021', 0.3317757009345794, 14.2), 'ENSG00000119673': ('ENSG00000119673', 0.6682242990654207, 28.6)}","{'ENSG00000097021': ('ENSG00000097021', 0.5, 1.0), 'ENSG00000119673': ('ENSG00000119673', 0.5, 1.0)}"
"('MAR02506', 'ENSG00000101473 or ENSG00000136881 or ENSG00000177465')","{'ENSG00000101473': ('ENSG00000101473', 0.950354609929078, 13.4), 'ENSG00000136881': ('ENSG00000136881', 0.04964539007092198, 0.7)}","{'ENSG00000101473': ('ENSG00000101473', 0.02404207362885049, 25.6), 'ENSG00000136881': ('ENSG00000136881', 0.9759579263711496, 1039.2)}","{'ENSG00000101473': ('ENSG00000101473', 0.8512820512820514, 16.6), 'ENSG00000136881': ('ENSG00000136881', 0.14871794871794872, 2.9)}"
"('MAR02507', 'ENSG00000097021 or ENSG00000119673')","{'ENSG00000097021': ('ENSG00000097021', 0.20454545454545456, 9.0), 'ENSG00000119673': ('ENSG00000119673', 0.7954545454545454, 35.0)}","{'ENSG00000097021': ('ENSG00000097021', 0.3317757009345794, 14.2), 'ENSG00000119673': ('ENSG00000119673', 0.6682242990654207, 28.6)}","{'ENSG00000097021': ('ENSG00000097021', 0.5, 1.0), 'ENSG00000119673': ('ENSG00000119673', 0.5, 1.0)}"
"('MAR02508', 'ENSG00000101473 or ENSG00000136881 or ENSG00000177465')","{'ENSG00000101473': ('ENSG00000101473', 0.950354609929078, 13.4), 'ENSG00000136881': ('ENSG00000136881', 0.04964539007092198, 0.7)}","{'ENSG00000101473': ('ENSG00000101473', 0.02404207362885049, 25.6), 'ENSG00000136881': ('ENSG00000136881', 0.9759579263711496, 1039.2)}","{'ENSG00000101473': ('ENSG00000101473', 0.8512820512820514, 16.6), 'ENSG00000136881': ('ENSG00000136881', 0.14871794871794872, 2.9)}"
"('MAR02519', 'ENSG00000012660 or ENSG00000066322 or ENSG00000170522 or ENSG00000197977')","{'ENSG00000012660': ('ENSG00000012660', 0.8164893617021276, 30.7), 'ENSG00000066322': ('ENSG00000066322', 0.055851063829787224, 2.1), 'ENSG00000170522': ('ENSG00000170522', 0.12499999999999999, 4.7), 'ENSG00000197977': ('ENSG00000197977', 0.0026595744680851063, 0.1)}","{'ENSG00000012660': ('ENSG00000012660', 0.4185714285714286, 87.9), 'ENSG00000066322': ('ENSG00000066322', 0.06571428571428573, 13.8), 'ENSG00000170522': ('ENSG00000170522', 0.42761904761904757, 89.8), 'ENSG00000197977': ('ENSG00000197977', 0.0880952380952381, 18.5)}","{'ENSG00000012660': ('ENSG00000012660', 0.3828125, 4.9), 'ENSG00000066322': ('ENSG00000066322', 0.3828125, 4.9), 'ENSG00000170522': ('ENSG00000170522', 0.15625, 2.0), 'ENSG00000197977': ('ENSG00000197977', 0.078125, 1.0)}"
"('MAR02521', 'ENSG00000066322')","{'ENSG00000066322': ('ENSG00000066322', 1, 2.1)}","{'ENSG00000066322': ('ENSG00000066322', 1, 13.8)}","{'ENSG00000066322': ('ENSG00000066322', 1, 4.9)}"
"('MAR02523', 'ENSG00000149929')","{'ENSG00000149929': ('ENSG00000149929', 1, 39.0)}","{'ENSG00000149929': ('ENSG00000149929', 1, 19.1)}","{'ENSG00000149929': ('ENSG00000149929', 1, 25.4)}"
"('MAR02525', 'ENSG00000141552')","{'ENSG00000141552': ('ENSG00000141552', 1, 490.3)}","{'ENSG00000141552': ('ENSG00000141552', 1, 547.0)}","{'ENSG00000141552': ('ENSG00000141552', 1, 207.8)}"
"('MAR02527', '')",{},{},{}
"('MAR02529', 'ENSG00000167419')",{},{},{}
"('MAR02531', 'ENSG00000005381 or ENSG00000117592')","{'ENSG00000117592': ('ENSG00000117592', 1, 568.1)}","{'ENSG00000117592': ('ENSG00000117592', 1, 1371.6)}","{'ENSG00000117592': ('ENSG00000117592', 1, 411.8)}"
"('MAR02532', 'ENSG00000083123 or ENSG00000091140 or ENSG00000248098')","{'ENSG00000083123': ('ENSG00000083123', 0.0754054054054054, 27.9), 'ENSG00000091140': ('ENSG00000091140', 0.9245945945945947, 342.1)}","{'ENSG00000083123': ('ENSG00000083123', 0.42275280898876405, 60.2), 'ENSG00000091140': ('ENSG00000091140', 0.577247191011236, 82.2)}","{'ENSG00000083123': ('ENSG00000083123', 0.11389961389961391, 5.9), 'ENSG00000091140': ('ENSG00000091140', 0.8861003861003861, 45.9)}"
"('MAR02534', 'ENSG00000005381')",{},{},{}
"('MAR02536', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02538', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02539', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02589', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02595', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02597', 'ENSG00000101846')","{'ENSG00000101846': ('ENSG00000101846', 1, 6.6)}","{'ENSG00000101846': ('ENSG00000101846', 1, 7.4)}","{'ENSG00000101846': ('ENSG00000101846', 1, 2.0)}"
"('MAR02615', 'ENSG00000241635')",{},{},{}
"('MAR02617', 'ENSG00000109181 or ENSG00000135226 or ENSG00000156096 or ENSG00000167165 or ENSG00000171234 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474')","{'ENSG00000196620': ('ENSG00000196620', 1, 0.2)}","{'ENSG00000196620': ('ENSG00000196620', 1, 139.0)}","{'ENSG00000196620': ('ENSG00000196620', 1, 3.9)}"
"('MAR02619', 'ENSG00000241635')",{},{},{}
"('MAR02627', 'ENSG00000109181 or ENSG00000135226 or ENSG00000156096 or ENSG00000167165 or ENSG00000171234 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474')","{'ENSG00000196620': ('ENSG00000196620', 1, 0.2)}","{'ENSG00000196620': ('ENSG00000196620', 1, 139.0)}","{'ENSG00000196620': ('ENSG00000196620', 1, 3.9)}"
"('MAR02628', 'ENSG00000241635')",{},{},{}
"('MAR02631', 'ENSG00000109181 or ENSG00000135226 or ENSG00000156096 or ENSG00000167165 or ENSG00000171234 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000288705 or ENSG00000241119 or ENSG00000241635 or ENSG00000242515 or ENSG00000288702 or ENSG00000244122 or ENSG00000244474')","{'ENSG00000196620': ('ENSG00000196620', 1, 0.2)}","{'ENSG00000196620': ('ENSG00000196620', 1, 139.0)}","{'ENSG00000196620': ('ENSG00000196620', 1, 3.9)}"
"('MAR02632', 'ENSG00000241635')",{},{},{}
