ID,Expression
MAR04388_f,256.11098366
MAR04379,125.85332243
MAR04358,69.94195537
MAR04363_f,135.98066437
MAR04368_f,148.87720139
MAR04391_f,44.38624091
MAR04394,241.39468989
MAR06412,23.10299883
MAR03829_f,86.45163262
MAR00710_f,45.25655936
MAR04139_f,118.62704195
MAR04145,50.53121662
MAR04152_f,121.65996989
MAR04209,121.71271645
MAR04410_f,45.88951823
MAR04454_f,44.99282649
MAR06413,121.71271645
MAR06414_f,67.46286645
MAR06914,32.30727577
MAR06916,1.14
MAR06918,34.60175168
MAR06921,27.29635136
MAR08709_f,353.9295027
MAR08746,66.72441445
MAR03825,96.47348142000001
MAR04898_f,1.14
MAR05043,32.88748806
MAR05411_f,40.53574111
MAR06328_f,103.33053589
MAR07638,223.59272159
MAR02197,181.1317306
MAR02216_f,51.82350766
MAR20069,46.20599766
MAR04365_r,180.26141215
MAR04373_r,90.09114614
MAR04375_r,165.04402591
MAR04381_r,50.79494949
MAR04280_r,79.56820488
MAR03827_r,34.65449825
MAR06409_r,46.9180764
MAR03958_r,42.27637801
MAR04141_r,46.41698395
MAR04652_r,36.63249473
MAR06638_r,353.9295027
MAR04888_r,77.51108855
MAR00125_r,51.82350766
MAR02196_r,181.1317306
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02040c,-1.0
temporary_exchange_MAM01596c,-1.0
