,sample_1,sample_2,sample_3,sample_4
"('MAR01146', 'ENSG00000157326 or ENSG00000159228 or ENSG00000159231')","{'ENSG00000157326': ('ENSG00000157326', 0.1406672678088368, 15.6), 'ENSG00000159228': ('ENSG00000159228', 0.8593327321911632, 95.3)}","{'ENSG00000157326': ('ENSG00000157326', 0.11206770757332556, 76.8), 'ENSG00000159228': ('ENSG00000159228', 0.8879322924266745, 608.5)}","{'ENSG00000157326': ('ENSG00000157326', 0.19011684518013633, 78.1), 'ENSG00000159228': ('ENSG00000159228', 0.8098831548198637, 332.7)}","{'ENSG00000157326': ('ENSG00000157326', 0.48184637839810257, 264.1), 'ENSG00000159228': ('ENSG00000159228', 0.5181536216018975, 284.0)}"
"('MAR01147', 'ENSG00000157326 or ENSG00000159228 or ENSG00000159231')","{'ENSG00000157326': ('ENSG00000157326', 0.1406672678088368, 15.6), 'ENSG00000159228': ('ENSG00000159228', 0.8593327321911632, 95.3)}","{'ENSG00000157326': ('ENSG00000157326', 0.11206770757332556, 76.8), 'ENSG00000159228': ('ENSG00000159228', 0.8879322924266745, 608.5)}","{'ENSG00000157326': ('ENSG00000157326', 0.19011684518013633, 78.1), 'ENSG00000159228': ('ENSG00000159228', 0.8098831548198637, 332.7)}","{'ENSG00000157326': ('ENSG00000157326', 0.48184637839810257, 264.1), 'ENSG00000159228': ('ENSG00000159228', 0.5181536216018975, 284.0)}"
"('MAR01148', 'ENSG00000157326 or ENSG00000159228 or ENSG00000159231')","{'ENSG00000157326': ('ENSG00000157326', 0.1406672678088368, 15.6), 'ENSG00000159228': ('ENSG00000159228', 0.8593327321911632, 95.3)}","{'ENSG00000157326': ('ENSG00000157326', 0.11206770757332556, 76.8), 'ENSG00000159228': ('ENSG00000159228', 0.8879322924266745, 608.5)}","{'ENSG00000157326': ('ENSG00000157326', 0.19011684518013633, 78.1), 'ENSG00000159228': ('ENSG00000159228', 0.8098831548198637, 332.7)}","{'ENSG00000157326': ('ENSG00000157326', 0.48184637839810257, 264.1), 'ENSG00000159228': ('ENSG00000159228', 0.5181536216018975, 284.0)}"
"('MAR01149', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01150', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01151', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01152', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01153', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01154', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
"('MAR01155', 'ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974')","{'ENSG00000138061': ('ENSG00000138061', 1, 42.8)}","{'ENSG00000138061': ('ENSG00000138061', 1, 15.4)}","{'ENSG00000138061': ('ENSG00000138061', 1, 8.6)}","{'ENSG00000138061': ('ENSG00000138061', 1, 1.5)}"
