,sample_1,sample_2,sample_3,sample_4
"('MAR01131', 'ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144')","{'ENSG00000147576': ('ENSG00000147576', 0.1426470588235294, 9.7), 'ENSG00000172955': ('ENSG00000172955', 0.08529411764705883, 5.8), 'ENSG00000197894': ('ENSG00000197894', 0.7720588235294118, 52.5)}","{'ENSG00000147576': ('ENSG00000147576', 0.0696442089326268, 9.2), 'ENSG00000172955': ('ENSG00000172955', 0.0461771385314156, 6.1), 'ENSG00000197894': ('ENSG00000197894', 0.8841786525359576, 116.8)}","{'ENSG00000147576': ('ENSG00000147576', 0.04747937671860678, 25.9), 'ENSG00000172955': ('ENSG00000172955', 0.5890009165902841, 321.3), 'ENSG00000197894': ('ENSG00000197894', 0.3635197066911091, 198.3)}","{'ENSG00000147576': ('ENSG00000147576', 0.037356321839080456, 13.0), 'ENSG00000172955': ('ENSG00000172955', 0.1982758620689655, 69.0), 'ENSG00000197894': ('ENSG00000197894', 0.764367816091954, 266.0)}"
"('MAR01132', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.13142857142857142, 25.3), 'ENSG00000111275': ('ENSG00000111275', 0.3231168831168831, 62.2), 'ENSG00000137124': ('ENSG00000137124', 0.12103896103896104, 23.3), 'ENSG00000143149': ('ENSG00000143149', 0.22233766233766233, 42.8), 'ENSG00000164904': ('ENSG00000164904', 0.20207792207792208, 38.9)}","{'ENSG00000072210': ('ENSG00000072210', 0.09318996415770607, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.4915908464295561, 178.3), 'ENSG00000137124': ('ENSG00000137124', 0.016818307140887785, 6.1), 'ENSG00000143149': ('ENSG00000143149', 0.2288392610973256, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1695616211745244, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.07182890855457229, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.4775073746312685, 647.5), 'ENSG00000137124': ('ENSG00000137124', 0.12522123893805312, 169.8), 'ENSG00000143149': ('ENSG00000143149', 0.12293510324483777, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.20250737463126844, 274.6)}"
"('MAR01133', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.13142857142857142, 25.3), 'ENSG00000111275': ('ENSG00000111275', 0.3231168831168831, 62.2), 'ENSG00000137124': ('ENSG00000137124', 0.12103896103896104, 23.3), 'ENSG00000143149': ('ENSG00000143149', 0.22233766233766233, 42.8), 'ENSG00000164904': ('ENSG00000164904', 0.20207792207792208, 38.9)}","{'ENSG00000072210': ('ENSG00000072210', 0.09318996415770607, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.4915908464295561, 178.3), 'ENSG00000137124': ('ENSG00000137124', 0.016818307140887785, 6.1), 'ENSG00000143149': ('ENSG00000143149', 0.2288392610973256, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1695616211745244, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.07182890855457229, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.4775073746312685, 647.5), 'ENSG00000137124': ('ENSG00000137124', 0.12522123893805312, 169.8), 'ENSG00000143149': ('ENSG00000143149', 0.12293510324483777, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.20250737463126844, 274.6)}"
"('MAR01134', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.13142857142857142, 25.3), 'ENSG00000111275': ('ENSG00000111275', 0.3231168831168831, 62.2), 'ENSG00000137124': ('ENSG00000137124', 0.12103896103896104, 23.3), 'ENSG00000143149': ('ENSG00000143149', 0.22233766233766233, 42.8), 'ENSG00000164904': ('ENSG00000164904', 0.20207792207792208, 38.9)}","{'ENSG00000072210': ('ENSG00000072210', 0.09318996415770607, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.4915908464295561, 178.3), 'ENSG00000137124': ('ENSG00000137124', 0.016818307140887785, 6.1), 'ENSG00000143149': ('ENSG00000143149', 0.2288392610973256, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1695616211745244, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09120433017591342, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.6648849797023005, 982.7), 'ENSG00000137124': ('ENSG00000137124', 0.07760487144790258, 114.7), 'ENSG00000143149': ('ENSG00000143149', 0.10764546684709066, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.05866035182679297, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.07182890855457229, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.4775073746312685, 647.5), 'ENSG00000137124': ('ENSG00000137124', 0.12522123893805312, 169.8), 'ENSG00000143149': ('ENSG00000143149', 0.12293510324483777, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.20250737463126844, 274.6)}"
"('MAR01136', '')",{},{},{},{}
"('MAR01137', 'ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529')",{},{},{},{}
"('MAR01138', 'ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529')",{},{},{},{}
"('MAR01139', 'ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529')",{},{},{},{}
"('MAR01140', 'ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529')",{},{},{},{}
"('MAR01142', '')",{},{},{},{}
