,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR07756', 'ENSG00000165591')",{},{},{},{},{}
"('MAR08539', 'ENSG00000171759')",{},{},{},{},{}
"('MAR08794', '')",{},{},{},{},{}
"('MAR08795', '')",{},{},{},{},{}
"('MAR08796', 'ENSG00000149124')",{},{},{},{},{}
"('MAR03875', 'ENSG00000038274 or ENSG00000151224 or ENSG00000168906')","{'ENSG00000038274': ('ENSG00000038274', 0.8772189349112426, 59.3), 'ENSG00000168906': ('ENSG00000168906', 0.12278106508875741, 8.3)}","{'ENSG00000038274': ('ENSG00000038274', 0.761609907120743, 49.2), 'ENSG00000168906': ('ENSG00000168906', 0.23839009287925694, 15.4)}","{'ENSG00000038274': ('ENSG00000038274', 0.2795076031860971, 38.6), 'ENSG00000168906': ('ENSG00000168906', 0.720492396813903, 99.5)}","{'ENSG00000038274': ('ENSG00000038274', 0.5867507886435331, 55.8), 'ENSG00000168906': ('ENSG00000168906', 0.41324921135646686, 39.3)}","{'ENSG00000038274': ('ENSG00000038274', 0.4514448128848887, 95.3), 'ENSG00000168906': ('ENSG00000168906', 0.5485551871151113, 115.8)}"
"('MAR03877', 'ENSG00000101444 or ENSG00000158467')","{'ENSG00000101444': ('ENSG00000101444', 1, 52.5)}","{'ENSG00000101444': ('ENSG00000101444', 1, 33.8)}","{'ENSG00000101444': ('ENSG00000101444', 1, 24.9)}","{'ENSG00000101444': ('ENSG00000101444', 1, 73.9)}","{'ENSG00000101444': ('ENSG00000101444', 1, 242.6)}"
"('MAR03879', 'ENSG00000160200')",{},{},{},{},{}
"('MAR03881', 'ENSG00000116761')","{'ENSG00000116761': ('ENSG00000116761', 1, 1.8)}","{'ENSG00000116761': ('ENSG00000116761', 1, 6.1)}","{'ENSG00000116761': ('ENSG00000116761', 1, 3.4)}","{'ENSG00000116761': ('ENSG00000116761', 1, 122.3)}","{'ENSG00000116761': ('ENSG00000116761', 1, 24.5)}"
"('MAR03912', 'ENSG00000120053 or ENSG00000125166')","{'ENSG00000120053': ('ENSG00000120053', 0.5931949497111064, 554.4), 'ENSG00000125166': ('ENSG00000125166', 0.4068050502888937, 380.2)}","{'ENSG00000120053': ('ENSG00000120053', 0.7654618473895582, 190.6), 'ENSG00000125166': ('ENSG00000125166', 0.23453815261044175, 58.4)}","{'ENSG00000120053': ('ENSG00000120053', 0.42032332563510394, 18.2), 'ENSG00000125166': ('ENSG00000125166', 0.5796766743648961, 25.1)}","{'ENSG00000120053': ('ENSG00000120053', 0.5347995545657016, 192.1), 'ENSG00000125166': ('ENSG00000125166', 0.46520044543429845, 167.1)}","{'ENSG00000120053': ('ENSG00000120053', 0.6871794871794872, 134.0), 'ENSG00000125166': ('ENSG00000125166', 0.3128205128205128, 61.0)}"
"('MAR03917', 'ENSG00000116984')",{},{},{},{},{}
"('MAR03919', 'ENSG00000243989')",{},{},{},{},{}
"('MAR03920', 'ENSG00000005421 or ENSG00000105852 or ENSG00000105854')","{'ENSG00000105854': ('ENSG00000105854', 1, 51.0)}","{'ENSG00000105854': ('ENSG00000105854', 1, 9.2)}","{'ENSG00000105854': ('ENSG00000105854', 1, 86.3)}","{'ENSG00000105854': ('ENSG00000105854', 1, 135.5)}","{'ENSG00000105854': ('ENSG00000105854', 1, 54.6)}"
"('MAR03922', 'ENSG00000161653')",{},{},{},{},{}
"('MAR03928', 'ENSG00000128309 or ENSG00000128311')",{},{},{},{},{}
"('MAR03995', 'ENSG00000181652 or ENSG00000184470 or ENSG00000197763 or ENSG00000198431')","{'ENSG00000184470': ('ENSG00000184470', 0.12807881773399016, 13.0), 'ENSG00000198431': ('ENSG00000198431', 0.8719211822660099, 88.5)}","{'ENSG00000184470': ('ENSG00000184470', 0.585858585858586, 52.2), 'ENSG00000198431': ('ENSG00000198431', 0.41414141414141414, 36.9)}","{'ENSG00000184470': ('ENSG00000184470', 0.20157480314960632, 12.8), 'ENSG00000198431': ('ENSG00000198431', 0.7984251968503937, 50.7)}","{'ENSG00000184470': ('ENSG00000184470', 0.3902877697841727, 43.4), 'ENSG00000198431': ('ENSG00000198431', 0.6097122302158273, 67.8)}","{'ENSG00000184470': ('ENSG00000184470', 0.567409144196952, 48.4), 'ENSG00000198431': ('ENSG00000198431', 0.43259085580304807, 36.9)}"
"('MAR03996', '')",{},{},{},{},{}
"('MAR04072', '(ENSG00000088305 and ENSG00000130816) or ENSG00000107614 or ENSG00000119772 or ENSG00000142182')","{'ENSG00000130816': ('ENSG00000130816', 0.031255581353813185, 17.5), 'ENSG00000119772': ('ENSG00000119772', 0.9687444186461868, 542.4)}","{'ENSG00000130816': ('ENSG00000130816', 0.6013071895424836, 9.2), 'ENSG00000119772': ('ENSG00000119772', 0.39869281045751637, 6.1)}","{'ENSG00000130816': ('ENSG00000130816', 0.5866666666666667, 39.6), 'ENSG00000119772': ('ENSG00000119772', 0.41333333333333333, 27.9)}","{'ENSG00000130816': ('ENSG00000130816', 0.7880184331797234, 17.1), 'ENSG00000119772': ('ENSG00000119772', 0.21198156682027644, 4.6)}","{'ENSG00000130816': ('ENSG00000130816', 0.5833333333333334, 9.1), 'ENSG00000119772': ('ENSG00000119772', 0.4166666666666667, 6.5)}"
"('MAR04189', 'ENSG00000139531')",{},{},{},{},{}
"('MAR04302', 'ENSG00000116761')","{'ENSG00000116761': ('ENSG00000116761', 1, 1.8)}","{'ENSG00000116761': ('ENSG00000116761', 1, 6.1)}","{'ENSG00000116761': ('ENSG00000116761', 1, 3.4)}","{'ENSG00000116761': ('ENSG00000116761', 1, 122.3)}","{'ENSG00000116761': ('ENSG00000116761', 1, 24.5)}"
"('MAR04323', 'ENSG00000160200')",{},{},{},{},{}
"('MAR05381', 'ENSG00000261052')",{},{},{},{},{}
"('MAR05385', 'ENSG00000037757')",{},{},{},{},{}
"('MAR05386', 'ENSG00000149089')","{'ENSG00000149089': ('ENSG00000149089', 1, 35.5)}","{'ENSG00000149089': ('ENSG00000149089', 1, 150.6)}","{'ENSG00000149089': ('ENSG00000149089', 1, 23.7)}","{'ENSG00000149089': ('ENSG00000149089', 1, 30.0)}","{'ENSG00000149089': ('ENSG00000149089', 1, 92.4)}"
"('MAR05387', 'ENSG00000145293')","{'ENSG00000145293': ('ENSG00000145293', 1, 15.8)}","{'ENSG00000145293': ('ENSG00000145293', 1, 67.6)}","{'ENSG00000145293': ('ENSG00000145293', 1, 21.5)}","{'ENSG00000145293': ('ENSG00000145293', 1, 10.5)}","{'ENSG00000145293': ('ENSG00000145293', 1, 45.8)}"
"('MAR05388', 'ENSG00000182551')","{'ENSG00000182551': ('ENSG00000182551', 1, 367.9)}","{'ENSG00000182551': ('ENSG00000182551', 1, 728.4)}","{'ENSG00000182551': ('ENSG00000182551', 1, 64.4)}","{'ENSG00000182551': ('ENSG00000182551', 1, 1471.0)}","{'ENSG00000182551': ('ENSG00000182551', 1, 1333.9)}"
"('MAR05389', 'ENSG00000182551')","{'ENSG00000182551': ('ENSG00000182551', 1, 367.9)}","{'ENSG00000182551': ('ENSG00000182551', 1, 728.4)}","{'ENSG00000182551': ('ENSG00000182551', 1, 64.4)}","{'ENSG00000182551': ('ENSG00000182551', 1, 1471.0)}","{'ENSG00000182551': ('ENSG00000182551', 1, 1333.9)}"
"('MAR05390', 'ENSG00000104951')",{},{},{},{},{}
"('MAR05391', 'ENSG00000198650')",{},{},{},{},{}
"('MAR05418', 'ENSG00000161653')",{},{},{},{},{}
"('MAR05419', 'ENSG00000161653')",{},{},{},{},{}
"('MAR06515', 'ENSG00000128309 or ENSG00000128311')",{},{},{},{},{}
"('MAR06518', 'ENSG00000128309 or ENSG00000128311')",{},{},{},{},{}
"('MAR06519', 'ENSG00000111716 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989')",{},{},{},{},{}
"('MAR06520', 'ENSG00000128309 or ENSG00000128311')",{},{},{},{},{}
"('MAR06523', 'ENSG00000117592 or ENSG00000121053 or ENSG00000130508 or ENSG00000142046 or ENSG00000167419')","{'ENSG00000117592': ('ENSG00000117592', 1, 568.1)}","{'ENSG00000117592': ('ENSG00000117592', 1, 713.0)}","{'ENSG00000117592': ('ENSG00000117592', 1, 191.4)}","{'ENSG00000117592': ('ENSG00000117592', 1, 1371.6)}","{'ENSG00000117592': ('ENSG00000117592', 1, 724.4)}"
"('MAR08062', 'ENSG00000261052')",{},{},{},{},{}
"('MAR08066', 'ENSG00000120053 or ENSG00000125166')","{'ENSG00000120053': ('ENSG00000120053', 0.5931949497111064, 554.4), 'ENSG00000125166': ('ENSG00000125166', 0.4068050502888937, 380.2)}","{'ENSG00000120053': ('ENSG00000120053', 0.7654618473895582, 190.6), 'ENSG00000125166': ('ENSG00000125166', 0.23453815261044175, 58.4)}","{'ENSG00000120053': ('ENSG00000120053', 0.42032332563510394, 18.2), 'ENSG00000125166': ('ENSG00000125166', 0.5796766743648961, 25.1)}","{'ENSG00000120053': ('ENSG00000120053', 0.5347995545657016, 192.1), 'ENSG00000125166': ('ENSG00000125166', 0.46520044543429845, 167.1)}","{'ENSG00000120053': ('ENSG00000120053', 0.6871794871794872, 134.0), 'ENSG00000125166': ('ENSG00000125166', 0.3128205128205128, 61.0)}"
"('MAR08067', 'ENSG00000125166')","{'ENSG00000125166': ('ENSG00000125166', 1, 380.2)}","{'ENSG00000125166': ('ENSG00000125166', 1, 58.4)}","{'ENSG00000125166': ('ENSG00000125166', 1, 25.1)}","{'ENSG00000125166': ('ENSG00000125166', 1, 167.1)}","{'ENSG00000125166': ('ENSG00000125166', 1, 61.0)}"
"('MAR08068', 'ENSG00000014641 or ENSG00000138400')","{'ENSG00000014641': ('ENSG00000014641', 1, 3128.3)}","{'ENSG00000014641': ('ENSG00000014641', 1, 491.7)}","{'ENSG00000014641': ('ENSG00000014641', 1, 54.0)}","{'ENSG00000014641': ('ENSG00000014641', 1, 194.3)}","{'ENSG00000014641': ('ENSG00000014641', 1, 1465.7)}"
"('MAR08069', 'ENSG00000146701')","{'ENSG00000146701': ('ENSG00000146701', 1, 486.3)}","{'ENSG00000146701': ('ENSG00000146701', 1, 316.6)}","{'ENSG00000146701': ('ENSG00000146701', 1, 94.6)}","{'ENSG00000146701': ('ENSG00000146701', 1, 269.6)}","{'ENSG00000146701': ('ENSG00000146701', 1, 449.7)}"
"('MAR08641', '(ENSG00000088305 and ENSG00000130816) or ENSG00000107614 or ENSG00000119772 or ENSG00000142182')","{'ENSG00000130816': ('ENSG00000130816', 0.031255581353813185, 17.5), 'ENSG00000119772': ('ENSG00000119772', 0.9687444186461868, 542.4)}","{'ENSG00000130816': ('ENSG00000130816', 0.6013071895424836, 9.2), 'ENSG00000119772': ('ENSG00000119772', 0.39869281045751637, 6.1)}","{'ENSG00000130816': ('ENSG00000130816', 0.5866666666666667, 39.6), 'ENSG00000119772': ('ENSG00000119772', 0.41333333333333333, 27.9)}","{'ENSG00000130816': ('ENSG00000130816', 0.7880184331797234, 17.1), 'ENSG00000119772': ('ENSG00000119772', 0.21198156682027644, 4.6)}","{'ENSG00000130816': ('ENSG00000130816', 0.5833333333333334, 9.1), 'ENSG00000119772': ('ENSG00000119772', 0.4166666666666667, 6.5)}"
"('MAR08682', '')",{},{},{},{},{}
"('MAR08683', 'ENSG00000116761')","{'ENSG00000116761': ('ENSG00000116761', 1, 1.8)}","{'ENSG00000116761': ('ENSG00000116761', 1, 6.1)}","{'ENSG00000116761': ('ENSG00000116761', 1, 3.4)}","{'ENSG00000116761': ('ENSG00000116761', 1, 122.3)}","{'ENSG00000116761': ('ENSG00000116761', 1, 24.5)}"
"('MAR08684', 'ENSG00000125166')","{'ENSG00000125166': ('ENSG00000125166', 1, 380.2)}","{'ENSG00000125166': ('ENSG00000125166', 1, 58.4)}","{'ENSG00000125166': ('ENSG00000125166', 1, 25.1)}","{'ENSG00000125166': ('ENSG00000125166', 1, 167.1)}","{'ENSG00000125166': ('ENSG00000125166', 1, 61.0)}"
"('MAR08685', '')",{},{},{},{},{}
"('MAR03868', 'ENSG00000104687')","{'ENSG00000104687': ('ENSG00000104687', 1, 36.9)}","{'ENSG00000104687': ('ENSG00000104687', 1, 3.1)}","{'ENSG00000104687': ('ENSG00000104687', 1, 12.9)}","{'ENSG00000104687': ('ENSG00000104687', 1, 37.5)}","{'ENSG00000104687': ('ENSG00000104687', 1, 16.7)}"
"('MAR03869', 'ENSG00000104687')","{'ENSG00000104687': ('ENSG00000104687', 1, 36.9)}","{'ENSG00000104687': ('ENSG00000104687', 1, 3.1)}","{'ENSG00000104687': ('ENSG00000104687', 1, 12.9)}","{'ENSG00000104687': ('ENSG00000104687', 1, 37.5)}","{'ENSG00000104687': ('ENSG00000104687', 1, 16.7)}"
"('MAR03889', 'ENSG00000178814')",{},{},{},{},{}
"('MAR03933', 'ENSG00000197894')","{'ENSG00000197894': ('ENSG00000197894', 1, 185.9)}","{'ENSG00000197894': ('ENSG00000197894', 1, 116.8)}","{'ENSG00000197894': ('ENSG00000197894', 1, 57.2)}","{'ENSG00000197894': ('ENSG00000197894', 1, 198.3)}","{'ENSG00000197894': ('ENSG00000197894', 1, 266.0)}"
"('MAR03937', 'ENSG00000139684')","{'ENSG00000139684': ('ENSG00000139684', 1, 106.8)}","{'ENSG00000139684': ('ENSG00000139684', 1, 328.9)}","{'ENSG00000139684': ('ENSG00000139684', 1, 108.5)}","{'ENSG00000139684': ('ENSG00000139684', 1, 188.5)}","{'ENSG00000139684': ('ENSG00000139684', 1, 561.5)}"
"('MAR04116', 'ENSG00000116157 or ENSG00000117450 or ENSG00000117592 or ENSG00000126432 or ENSG00000164294 or ENSG00000165672 or ENSG00000167468 or ENSG00000167815 or ENSG00000176153 or ENSG00000198704 or ENSG00000211445 or ENSG00000224586 or ENSG00000233276')","{'ENSG00000117450': ('ENSG00000117450', 0.04832226888858783, 107.0), 'ENSG00000117592': ('ENSG00000117592', 0.25655963509912844, 568.1), 'ENSG00000126432': ('ENSG00000126432', 0.39664905387707167, 878.3), 'ENSG00000165672': ('ENSG00000165672', 0.15359255746737116, 340.1), 'ENSG00000167468': ('ENSG00000167468', 0.09140586189766517, 202.4), 'ENSG00000167815': ('ENSG00000167815', 0.02596757440274579, 57.5), 'ENSG00000233276': ('ENSG00000233276', 0.027503048367429884, 60.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.12044683342842558, 802.2), 'ENSG00000117592': ('ENSG00000117592', 0.10705384222696018, 713.0), 'ENSG00000126432': ('ENSG00000126432', 0.20904777634305277, 1392.3), 'ENSG00000165672': ('ENSG00000165672', 0.10983153659049279, 731.5), 'ENSG00000167468': ('ENSG00000167468', 0.2113450046545149, 1407.6), 'ENSG00000167815': ('ENSG00000167815', 0.15643674364133212, 1041.9), 'ENSG00000233276': ('ENSG00000233276', 0.08583826311522177, 571.7)}","{'ENSG00000117450': ('ENSG00000117450', 0.2834919472913616, 464.7), 'ENSG00000117592': ('ENSG00000117592', 0.11676427525622254, 191.4), 'ENSG00000126432': ('ENSG00000126432', 0.12438994631527577, 203.9), 'ENSG00000165672': ('ENSG00000165672', 0.04416788677403612, 72.4), 'ENSG00000167468': ('ENSG00000167468', 0.13921425085407516, 228.2), 'ENSG00000167815': ('ENSG00000167815', 0.09742557345046364, 159.7), 'ENSG00000233276': ('ENSG00000233276', 0.19454612005856517, 318.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.18626137490647787, 1070.5), 'ENSG00000117592': ('ENSG00000117592', 0.23865119273397944, 1371.6), 'ENSG00000126432': ('ENSG00000126432', 0.07760165642997584, 446.0), 'ENSG00000165672': ('ENSG00000165672', 0.06831033702782177, 392.6), 'ENSG00000167468': ('ENSG00000167468', 0.16619978076662087, 955.2), 'ENSG00000167815': ('ENSG00000167815', 0.09712386685922088, 558.2), 'ENSG00000233276': ('ENSG00000233276', 0.1658517912759035, 953.2)}","{'ENSG00000117450': ('ENSG00000117450', 0.24256672407351726, 2662.0), 'ENSG00000117592': ('ENSG00000117592', 0.06600876593495714, 724.4), 'ENSG00000126432': ('ENSG00000126432', 0.12993995061188413, 1426.0), 'ENSG00000165672': ('ENSG00000165672', 0.07669737477561211, 841.7), 'ENSG00000167468': ('ENSG00000167468', 0.270550285667423, 2969.1), 'ENSG00000167815': ('ENSG00000167815', 0.09566897205288721, 1049.9), 'ENSG00000233276': ('ENSG00000233276', 0.11856792688371924, 1301.2)}"
"('MAR04120', 'ENSG00000116157 or ENSG00000117450 or ENSG00000117592 or ENSG00000126432 or ENSG00000164294 or ENSG00000165672 or ENSG00000167468 or ENSG00000167815 or ENSG00000176153 or ENSG00000198704 or ENSG00000211445 or ENSG00000224586 or ENSG00000233276')","{'ENSG00000117450': ('ENSG00000117450', 0.04832226888858783, 107.0), 'ENSG00000117592': ('ENSG00000117592', 0.25655963509912844, 568.1), 'ENSG00000126432': ('ENSG00000126432', 0.39664905387707167, 878.3), 'ENSG00000165672': ('ENSG00000165672', 0.15359255746737116, 340.1), 'ENSG00000167468': ('ENSG00000167468', 0.09140586189766517, 202.4), 'ENSG00000167815': ('ENSG00000167815', 0.02596757440274579, 57.5), 'ENSG00000233276': ('ENSG00000233276', 0.027503048367429884, 60.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.12044683342842558, 802.2), 'ENSG00000117592': ('ENSG00000117592', 0.10705384222696018, 713.0), 'ENSG00000126432': ('ENSG00000126432', 0.20904777634305277, 1392.3), 'ENSG00000165672': ('ENSG00000165672', 0.10983153659049279, 731.5), 'ENSG00000167468': ('ENSG00000167468', 0.2113450046545149, 1407.6), 'ENSG00000167815': ('ENSG00000167815', 0.15643674364133212, 1041.9), 'ENSG00000233276': ('ENSG00000233276', 0.08583826311522177, 571.7)}","{'ENSG00000117450': ('ENSG00000117450', 0.2834919472913616, 464.7), 'ENSG00000117592': ('ENSG00000117592', 0.11676427525622254, 191.4), 'ENSG00000126432': ('ENSG00000126432', 0.12438994631527577, 203.9), 'ENSG00000165672': ('ENSG00000165672', 0.04416788677403612, 72.4), 'ENSG00000167468': ('ENSG00000167468', 0.13921425085407516, 228.2), 'ENSG00000167815': ('ENSG00000167815', 0.09742557345046364, 159.7), 'ENSG00000233276': ('ENSG00000233276', 0.19454612005856517, 318.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.18626137490647787, 1070.5), 'ENSG00000117592': ('ENSG00000117592', 0.23865119273397944, 1371.6), 'ENSG00000126432': ('ENSG00000126432', 0.07760165642997584, 446.0), 'ENSG00000165672': ('ENSG00000165672', 0.06831033702782177, 392.6), 'ENSG00000167468': ('ENSG00000167468', 0.16619978076662087, 955.2), 'ENSG00000167815': ('ENSG00000167815', 0.09712386685922088, 558.2), 'ENSG00000233276': ('ENSG00000233276', 0.1658517912759035, 953.2)}","{'ENSG00000117450': ('ENSG00000117450', 0.24256672407351726, 2662.0), 'ENSG00000117592': ('ENSG00000117592', 0.06600876593495714, 724.4), 'ENSG00000126432': ('ENSG00000126432', 0.12993995061188413, 1426.0), 'ENSG00000165672': ('ENSG00000165672', 0.07669737477561211, 841.7), 'ENSG00000167468': ('ENSG00000167468', 0.270550285667423, 2969.1), 'ENSG00000167815': ('ENSG00000167815', 0.09566897205288721, 1049.9), 'ENSG00000233276': ('ENSG00000233276', 0.11856792688371924, 1301.2)}"
"('MAR04121', 'ENSG00000116157 or ENSG00000117450 or ENSG00000117592 or ENSG00000126432 or ENSG00000164294 or ENSG00000165672 or ENSG00000167468 or ENSG00000167815 or ENSG00000176153 or ENSG00000198704 or ENSG00000211445 or ENSG00000224586 or ENSG00000233276')","{'ENSG00000117450': ('ENSG00000117450', 0.04832226888858783, 107.0), 'ENSG00000117592': ('ENSG00000117592', 0.25655963509912844, 568.1), 'ENSG00000126432': ('ENSG00000126432', 0.39664905387707167, 878.3), 'ENSG00000165672': ('ENSG00000165672', 0.15359255746737116, 340.1), 'ENSG00000167468': ('ENSG00000167468', 0.09140586189766517, 202.4), 'ENSG00000167815': ('ENSG00000167815', 0.02596757440274579, 57.5), 'ENSG00000233276': ('ENSG00000233276', 0.027503048367429884, 60.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.12044683342842558, 802.2), 'ENSG00000117592': ('ENSG00000117592', 0.10705384222696018, 713.0), 'ENSG00000126432': ('ENSG00000126432', 0.20904777634305277, 1392.3), 'ENSG00000165672': ('ENSG00000165672', 0.10983153659049279, 731.5), 'ENSG00000167468': ('ENSG00000167468', 0.2113450046545149, 1407.6), 'ENSG00000167815': ('ENSG00000167815', 0.15643674364133212, 1041.9), 'ENSG00000233276': ('ENSG00000233276', 0.08583826311522177, 571.7)}","{'ENSG00000117450': ('ENSG00000117450', 0.2834919472913616, 464.7), 'ENSG00000117592': ('ENSG00000117592', 0.11676427525622254, 191.4), 'ENSG00000126432': ('ENSG00000126432', 0.12438994631527577, 203.9), 'ENSG00000165672': ('ENSG00000165672', 0.04416788677403612, 72.4), 'ENSG00000167468': ('ENSG00000167468', 0.13921425085407516, 228.2), 'ENSG00000167815': ('ENSG00000167815', 0.09742557345046364, 159.7), 'ENSG00000233276': ('ENSG00000233276', 0.19454612005856517, 318.9)}","{'ENSG00000117450': ('ENSG00000117450', 0.18626137490647787, 1070.5), 'ENSG00000117592': ('ENSG00000117592', 0.23865119273397944, 1371.6), 'ENSG00000126432': ('ENSG00000126432', 0.07760165642997584, 446.0), 'ENSG00000165672': ('ENSG00000165672', 0.06831033702782177, 392.6), 'ENSG00000167468': ('ENSG00000167468', 0.16619978076662087, 955.2), 'ENSG00000167815': ('ENSG00000167815', 0.09712386685922088, 558.2), 'ENSG00000233276': ('ENSG00000233276', 0.1658517912759035, 953.2)}","{'ENSG00000117450': ('ENSG00000117450', 0.24256672407351726, 2662.0), 'ENSG00000117592': ('ENSG00000117592', 0.06600876593495714, 724.4), 'ENSG00000126432': ('ENSG00000126432', 0.12993995061188413, 1426.0), 'ENSG00000165672': ('ENSG00000165672', 0.07669737477561211, 841.7), 'ENSG00000167468': ('ENSG00000167468', 0.270550285667423, 2969.1), 'ENSG00000167815': ('ENSG00000167815', 0.09566897205288721, 1049.9), 'ENSG00000233276': ('ENSG00000233276', 0.11856792688371924, 1301.2)}"
"('MAR04175', 'ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000167741 or ENSG00000274252')",{},{},{},{},{}
"('MAR04176', 'ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000167741 or ENSG00000274252')",{},{},{},{},{}
"('MAR04324', 'ENSG00000001084 and ENSG00000023909')","{'ENSG00000023909': ('ENSG00000023909', 1, 23.0)}","{'ENSG00000023909': ('ENSG00000023909', 1, 27.7)}","{'ENSG00000023909': ('ENSG00000023909', 1, 27.2)}","{'ENSG00000023909': ('ENSG00000023909', 1, 102.2)}","{'ENSG00000023909': ('ENSG00000023909', 1, 68.1)}"
"('MAR04326', 'ENSG00000100983')","{'ENSG00000100983': ('ENSG00000100983', 1, 18.1)}","{'ENSG00000100983': ('ENSG00000100983', 1, 21.5)}","{'ENSG00000100983': ('ENSG00000100983', 1, 18.0)}","{'ENSG00000100983': ('ENSG00000100983', 1, 28.2)}","{'ENSG00000100983': ('ENSG00000100983', 1, 109.0)}"
"('MAR04328', 'ENSG00000002549 or ENSG00000141279 or ENSG00000166825')","{'ENSG00000002549': ('ENSG00000002549', 0.48084147257700977, 64.0), 'ENSG00000141279': ('ENSG00000141279', 0.5191585274229902, 69.1)}","{'ENSG00000002549': ('ENSG00000002549', 0.8336347197106692, 92.2), 'ENSG00000141279': ('ENSG00000141279', 0.16636528028933092, 18.4)}","{'ENSG00000002549': ('ENSG00000002549', 0.7793533749290981, 137.4), 'ENSG00000141279': ('ENSG00000141279', 0.22064662507090185, 38.9)}","{'ENSG00000002549': ('ENSG00000002549', 0.7831050228310502, 102.9), 'ENSG00000141279': ('ENSG00000141279', 0.21689497716894976, 28.5)}","{'ENSG00000002549': ('ENSG00000002549', 0.8743368700265253, 263.7), 'ENSG00000141279': ('ENSG00000141279', 0.1256631299734748, 37.9)}"
"('MAR04329', 'ENSG00000002549 or ENSG00000141279 or ENSG00000166825')","{'ENSG00000002549': ('ENSG00000002549', 0.48084147257700977, 64.0), 'ENSG00000141279': ('ENSG00000141279', 0.5191585274229902, 69.1)}","{'ENSG00000002549': ('ENSG00000002549', 0.8336347197106692, 92.2), 'ENSG00000141279': ('ENSG00000141279', 0.16636528028933092, 18.4)}","{'ENSG00000002549': ('ENSG00000002549', 0.7793533749290981, 137.4), 'ENSG00000141279': ('ENSG00000141279', 0.22064662507090185, 38.9)}","{'ENSG00000002549': ('ENSG00000002549', 0.7831050228310502, 102.9), 'ENSG00000141279': ('ENSG00000141279', 0.21689497716894976, 28.5)}","{'ENSG00000002549': ('ENSG00000002549', 0.8743368700265253, 263.7), 'ENSG00000141279': ('ENSG00000141279', 0.1256631299734748, 37.9)}"
"('MAR04708', 'ENSG00000006625 or ENSG00000134864')","{'ENSG00000006625': ('ENSG00000006625', 1, 60.5)}","{'ENSG00000006625': ('ENSG00000006625', 1, 95.3)}","{'ENSG00000006625': ('ENSG00000006625', 1, 46.3)}","{'ENSG00000006625': ('ENSG00000006625', 1, 59.1)}","{'ENSG00000006625': ('ENSG00000006625', 1, 159.5)}"
"('MAR08769', 'ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000149435 or ENSG00000167741')",{},{},{},{},{}
"('MAR08770', 'ENSG00000006625 or ENSG00000134864')","{'ENSG00000006625': ('ENSG00000006625', 1, 60.5)}","{'ENSG00000006625': ('ENSG00000006625', 1, 95.3)}","{'ENSG00000006625': ('ENSG00000006625', 1, 46.3)}","{'ENSG00000006625': ('ENSG00000006625', 1, 59.1)}","{'ENSG00000006625': ('ENSG00000006625', 1, 159.5)}"
"('MAR08771', '')",{},{},{},{},{}
"('MAR04078', 'ENSG00000088826')",{},{},{},{},{}
"('MAR04079', 'ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904')","{'ENSG00000072210': ('ENSG00000072210', 0.12555757475631918, 76.0), 'ENSG00000111275': ('ENSG00000111275', 0.6925491491822238, 419.2), 'ENSG00000143149': ('ENSG00000143149', 0.10341979183875766, 62.6), 'ENSG00000164904': ('ENSG00000164904', 0.0784734842226995, 47.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.09478407178911945, 33.8), 'ENSG00000111275': ('ENSG00000111275', 0.5, 178.3), 'ENSG00000143149': ('ENSG00000143149', 0.2327537857543466, 83.0), 'ENSG00000164904': ('ENSG00000164904', 0.1724621424565339, 61.5)}","{'ENSG00000072210': ('ENSG00000072210', 0.16819571865443425, 27.5), 'ENSG00000111275': ('ENSG00000111275', 0.42262996941896025, 69.1), 'ENSG00000143149': ('ENSG00000143149', 0.26727828746177373, 43.7), 'ENSG00000164904': ('ENSG00000164904', 0.1418960244648318, 23.2)}","{'ENSG00000072210': ('ENSG00000072210', 0.09887772317171568, 134.8), 'ENSG00000111275': ('ENSG00000111275', 0.7208244700359422, 982.7), 'ENSG00000143149': ('ENSG00000143149', 0.1167021198562312, 159.1), 'ENSG00000164904': ('ENSG00000164904', 0.06359568693611091, 86.7)}","{'ENSG00000072210': ('ENSG00000072210', 0.0821109425054797, 97.4), 'ENSG00000111275': ('ENSG00000111275', 0.5458607317484405, 647.5), 'ENSG00000143149': ('ENSG00000143149', 0.14053279379531278, 166.7), 'ENSG00000164904': ('ENSG00000164904', 0.23149553195076722, 274.6)}"
"('MAR04174', 'ENSG00000128683 or ENSG00000136750')",{},{},{},{},{}
"('MAR04330', 'ENSG00000183044')",{},{},{},{},{}
"('MAR04347', 'ENSG00000100024')",{},{},{},{},{}
"('MAR04425', 'ENSG00000172508')",{},{},{},{},{}
