,sample_1,sample_2,sample_3,sample_4,sample_5
"('MAR04379', 'ENSG00000067057 or ENSG00000141959 or ENSG00000152556')","{'ENSG00000067057': ('ENSG00000067057', 0.21402356577168244, 110.8), 'ENSG00000141959': ('ENSG00000141959', 0.014293992659841607, 7.4), 'ENSG00000152556': ('ENSG00000152556', 0.7716824415684759, 399.5)}","{'ENSG00000067057': ('ENSG00000067057', 0.17397454031117396, 24.6), 'ENSG00000141959': ('ENSG00000141959', 0.49999999999999994, 70.7), 'ENSG00000152556': ('ENSG00000152556', 0.326025459688826, 46.1)}","{'ENSG00000067057': ('ENSG00000067057', 0.34866310160427805, 32.6), 'ENSG00000141959': ('ENSG00000141959', 0.5155080213903743, 48.2), 'ENSG00000152556': ('ENSG00000152556', 0.13582887700534757, 12.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.006042296072507554, 0.4), 'ENSG00000141959': ('ENSG00000141959', 0.9531722054380665, 63.1), 'ENSG00000152556': ('ENSG00000152556', 0.04078549848942598, 2.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.04968553459119497, 7.9), 'ENSG00000141959': ('ENSG00000141959', 0.781132075471698, 124.2), 'ENSG00000152556': ('ENSG00000152556', 0.1691823899371069, 26.9)}"
"('MAR04301', 'ENSG00000067057 or ENSG00000141959 or ENSG00000152556')","{'ENSG00000067057': ('ENSG00000067057', 0.21402356577168244, 110.8), 'ENSG00000141959': ('ENSG00000141959', 0.014293992659841607, 7.4), 'ENSG00000152556': ('ENSG00000152556', 0.7716824415684759, 399.5)}","{'ENSG00000067057': ('ENSG00000067057', 0.17397454031117396, 24.6), 'ENSG00000141959': ('ENSG00000141959', 0.49999999999999994, 70.7), 'ENSG00000152556': ('ENSG00000152556', 0.326025459688826, 46.1)}","{'ENSG00000067057': ('ENSG00000067057', 0.34866310160427805, 32.6), 'ENSG00000141959': ('ENSG00000141959', 0.5155080213903743, 48.2), 'ENSG00000152556': ('ENSG00000152556', 0.13582887700534757, 12.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.006042296072507554, 0.4), 'ENSG00000141959': ('ENSG00000141959', 0.9531722054380665, 63.1), 'ENSG00000152556': ('ENSG00000152556', 0.04078549848942598, 2.7)}","{'ENSG00000067057': ('ENSG00000067057', 0.04968553459119497, 7.9), 'ENSG00000141959': ('ENSG00000141959', 0.781132075471698, 124.2), 'ENSG00000152556': ('ENSG00000152556', 0.1691823899371069, 26.9)}"
"('MAR04355', 'ENSG00000109107 or ENSG00000136872')","{'ENSG00000109107': ('ENSG00000109107', 1, 28.3)}","{'ENSG00000109107': ('ENSG00000109107', 1, 3.1)}","{'ENSG00000109107': ('ENSG00000109107', 1, 10.7)}","{'ENSG00000109107': ('ENSG00000109107', 1, 86.2)}","{'ENSG00000109107': ('ENSG00000109107', 1, 2.2)}"
"('MAR04358', 'ENSG00000067225 or ENSG00000143627')","{'ENSG00000067225': ('ENSG00000067225', 1, 298.0)}","{'ENSG00000067225': ('ENSG00000067225', 1, 528.6)}","{'ENSG00000067225': ('ENSG00000067225', 1, 180.0)}","{'ENSG00000067225': ('ENSG00000067225', 1, 3.8)}","{'ENSG00000067225': ('ENSG00000067225', 1, 206.4)}"
"('MAR04360', 'ENSG00000180011')","{'ENSG00000180011': ('ENSG00000180011', 1, 62.2)}","{'ENSG00000180011': ('ENSG00000180011', 1, 21.5)}","{'ENSG00000180011': ('ENSG00000180011', 1, 22.0)}","{'ENSG00000180011': ('ENSG00000180011', 1, 24.1)}","{'ENSG00000180011': ('ENSG00000180011', 1, 17.0)}"
"('MAR04363', 'ENSG00000074800 or ENSG00000108515 or ENSG00000111674')","{'ENSG00000074800': ('ENSG00000074800', 1, 72.0)}","{'ENSG00000074800': ('ENSG00000074800', 1, 670.0)}","{'ENSG00000074800': ('ENSG00000074800', 1, 273.2)}","{'ENSG00000074800': ('ENSG00000074800', 1, 357.8)}","{'ENSG00000074800': ('ENSG00000074800', 1, 1029.8)}"
"('MAR04365', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000171314': ('ENSG00000171314', 0.7758620689655173, 108.0), 'ENSG00000172331': ('ENSG00000172331', 0.22413793103448276, 31.2)}","{'ENSG00000171314': ('ENSG00000171314', 0.7222054835793914, 239.7), 'ENSG00000172331': ('ENSG00000172331', 0.27779451642060865, 92.2)}","{'ENSG00000171314': ('ENSG00000171314', 0.8540489642184558, 90.7), 'ENSG00000172331': ('ENSG00000172331', 0.14595103578154425, 15.5)}","{'ENSG00000171314': ('ENSG00000171314', 0.96996336996337, 132.4), 'ENSG00000172331': ('ENSG00000172331', 0.030036630036630034, 4.1)}","{'ENSG00000171314': ('ENSG00000171314', 0.7664449371766444, 207.4), 'ENSG00000172331': ('ENSG00000172331', 0.2335550628233555, 63.2)}"
"('MAR04368', 'ENSG00000096006 or ENSG00000102144 or ENSG00000170950')","{'ENSG00000102144': ('ENSG00000102144', 1, 532.8)}","{'ENSG00000102144': ('ENSG00000102144', 1, 344.2)}","{'ENSG00000102144': ('ENSG00000102144', 1, 168.7)}","{'ENSG00000102144': ('ENSG00000102144', 1, 211.4)}","{'ENSG00000102144': ('ENSG00000102144', 1, 528.2)}"
"('MAR04370', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.06847068470684707, 16.7), 'ENSG00000170634': ('ENSG00000170634', 0.931529315293153, 227.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.4689725330620549, 46.1), 'ENSG00000170634': ('ENSG00000170634', 0.531027466937945, 52.2)}","{'ENSG00000119640': ('ENSG00000119640', 0.5034642032332564, 21.8), 'ENSG00000170634': ('ENSG00000170634', 0.4965357967667437, 21.5)}","{'ENSG00000119640': ('ENSG00000119640', 0.05527123848515865, 5.4), 'ENSG00000170634': ('ENSG00000170634', 0.9447287615148413, 92.3)}","{'ENSG00000119640': ('ENSG00000119640', 0.28947368421052627, 23.1), 'ENSG00000170634': ('ENSG00000170634', 0.7105263157894737, 56.7)}"
"('MAR04371', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000171314': ('ENSG00000171314', 0.7758620689655173, 108.0), 'ENSG00000172331': ('ENSG00000172331', 0.22413793103448276, 31.2)}","{'ENSG00000171314': ('ENSG00000171314', 0.7222054835793914, 239.7), 'ENSG00000172331': ('ENSG00000172331', 0.27779451642060865, 92.2)}","{'ENSG00000171314': ('ENSG00000171314', 0.8540489642184558, 90.7), 'ENSG00000172331': ('ENSG00000172331', 0.14595103578154425, 15.5)}","{'ENSG00000171314': ('ENSG00000171314', 0.96996336996337, 132.4), 'ENSG00000172331': ('ENSG00000172331', 0.030036630036630034, 4.1)}","{'ENSG00000171314': ('ENSG00000171314', 0.7664449371766444, 207.4), 'ENSG00000172331': ('ENSG00000172331', 0.2335550628233555, 63.2)}"
