Flux,Expression,ID,Name,Formula,Converted_formula,Objective_penalty,Options,Option_values
1,192.4473043,MAR04176,glutathione gamma-glutamylaminopeptidase,MAM02026e + MAM02040e --> MAM01626e + MAM01974e,GSH[e] + H2O[e] --> cys-gly[e] + glutamate[e],0.005196228,Termination condition,optimal
1,127.0689211,MAR04329,L-cysteinylglycine dipeptidase,MAM01626e + MAM02040e --> MAM01628e + MAM01986e,cys-gly[e] + H2O[e] --> cysteine[e] + glycine[e],0.007869745,Root work units,0.01
1,488.5748257,MAR05076,,MAM01986e --> MAM01986c,glycine[e] --> glycine[c],0.002046769,Optimization,0.39
1,449.4804288,MAR05084,,MAM01628e --> MAM01628c,cysteine[e] --> cysteine[c],0.002224791,Time,2.820518017
1,-1,temporary_exchange_MAM02026e,temporary_exchange_MAM02026e, --> MAM02026e, --> GSH[e],0,Objective,0.017337533
2,-1,temporary_exchange_MAM02040e,temporary_exchange_MAM02040e, --> MAM02040e, --> H2O[e],0,,
1,-1,temporary_exchange_MAM01974e,temporary_exchange_MAM01974e,MAM01974e --> ,glutamate[e] --> ,0,,
1,-1,temporary_exchange_MAM01986c,temporary_exchange_MAM01986c,MAM01986c --> ,glycine[c] --> ,0,,
1,-1,temporary_exchange_MAM01628c,temporary_exchange_MAM01628c,MAM01628c --> ,cysteine[c] --> ,0,,
