,sample_1,sample_2,sample_3,sample_4,sample_5
MAR08581,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08591,9.4,9.2,5.8,11.1,6.6
MAR08592,17.7,3.1,17.4,18.7,17.3
MAR08580,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08582,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08587,9.4,9.2,5.8,11.1,6.6
MAR08589,17.7,3.1,17.4,18.7,17.3
MAR08583,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08584,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08585,5.9,9.2,27.2,0.9,6.0
MAR03944,378.4,196.7,82.1,597.8,277.0
MAR04128,3.4,27.7,13.7,40.8,67.5
MAR04130,3.4,24.6,14.2,21.0,45.0
MAR04131,25.2,18.4,14.6,74.8,42.7
MAR04132,25.2,18.4,14.6,74.8,42.7
MAR04303,27.1,12.299999999999999,23.2,29.799999999999997,23.9
MAR04414,3.4,24.6,14.2,21.0,45.0
MAR04415,8.5,12.3,15.7,35.2,27.1
MAR04416,16.7,18.4,53.8,42.6,36.5
MAR04774,517.7,141.4,93.50000000000001,66.2,159.0
MAR04775,517.7,141.4,93.50000000000001,66.2,159.0
MAR04831,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04832,8.5,12.3,15.7,35.2,27.1
MAR07674,41.8,9.2,56.6,175.2,49.6
MAR08761,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08762,38.8,98.39999999999999,44.7,90.7,83.60000000000001
MAR08764,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08766,273.9,92.2,61.5,3.2,63.7
MAR08767,25.2,18.4,14.6,74.8,42.7
MAR00454,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04297,87.0,30.7,2.4,6.3,25.8
MAR04310,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04315,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04316,273.9,92.2,61.5,3.2,63.7
MAR04317,104.89999999999999,33.699999999999996,58.2,196.8,79.3
MAR04318,104.89999999999999,33.699999999999996,58.2,196.8,79.3
MAR04319,137.2,18.4,34.2,0.6,1.1
MAR04320,104.89999999999999,33.699999999999996,58.2,196.8,79.3
MAR04356,38.8,98.39999999999999,44.7,90.7,83.60000000000001
MAR04383,39.5,12.3,9.1,18.8,29.5
MAR04385,17.3,101.4,17.5,126.8,142.79999999999998
MAR04386,0.7,3.1,4.7,22.6,8.4
MAR04387,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04399,2.8,86.1,24.4,17.1,41.0
MAR04400,11.4,43.0,49.1,73.0,78.0
MAR04401,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04402,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04403,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04490,137.2,18.4,34.2,0.6,1.1
MAR04706,87.0,30.7,2.4,6.3,25.8
MAR08768,11.4,43.0,49.1,73.0,78.0
MAR04590,152.5,651.6,47.9,4143.6,2642.2
MAR04591,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04592,273.9,92.2,61.5,3.2,63.7
MAR04593,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04594,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04595,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08341,344.4,405.70000000000005,159.3,420.9,1619.9
MAR08342,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08344,51.9,119.9,64.9,315.0,1034.2
MAR08352,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08353,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08726,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08727,20.7,18.4,48.4,75.8,47.0
MAR08728,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08729,22.5,33.8,18.2,11.3,16.0
MAR06537,51.9,119.9,64.9,315.0,1034.2
MAR01568,-1.0,-1.0,-1.0,-1.0,-1.0
MAR03853,209.6,371.9,113.4,189.60000000000002,312.1
MAR03854,273.9,92.2,61.5,3.2,63.7
MAR03855,273.9,92.2,61.5,3.2,63.7
MAR03857,99.9,98.3,34.5,236.7,405.5
MAR03859,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04087,158.0,33.8,19.9,10.7,16.3
MAR04089,6.3,3.1,3.6,6.8,11.7
MAR04091,158.0,33.8,19.9,10.7,16.3
MAR04093,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04095,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04101,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04103,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04143,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04193,298.0,528.6,180.0,3.8,206.4
MAR08497,344.4,405.70000000000005,159.3,420.9,1619.9
MAR08498,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08499,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08500,344.4,405.70000000000005,159.3,420.9,1619.9
MAR08501,103.0,166.0,47.9,949.2,698.0
MAR08502,185.9,116.8,57.2,198.3,266.0
MAR08503,186.1,178.3,94.4,380.59999999999997,538.7
MAR08504,605.3,356.6,163.5,1363.3,1186.1999999999998
MAR08506,605.3,356.6,163.5,1363.3,1186.1999999999998
MAR08507,248.10000000000002,138.3,79.2,222.4,283.0
MAR08508,248.10000000000002,138.3,79.2,222.4,283.0
MAR08509,344.4,405.70000000000005,159.3,420.9,1619.9
MAR08511,99.9,98.3,34.5,236.7,405.5
MAR08512,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08514,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08516,55.0,95.3,10.2,20.4,90.1
MAR08517,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04280,-1.0,-1.0,-1.0,-1.0,-1.0
MAR00153,38.4,18.4,15.3,108.1,54.4
MAR03212,690.1999999999999,288.90000000000003,63.699999999999996,335.7,602.4
MAR03797,38.4,18.4,15.3,108.1,54.4
MAR03800,27.9,24.6,10.8,40.9,28.1
MAR04105,110.3,33.8,8.4,43.4,18.8
MAR04106,110.3,33.8,8.4,43.4,18.8
MAR04107,110.3,33.8,8.4,43.4,18.8
MAR04282,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04331,38.4,18.4,15.3,108.1,54.4
MAR04459,38.4,18.4,15.3,108.1,54.4
MAR04460,38.4,18.4,15.3,108.1,54.4
MAR04464,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04497,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04741,26.0,92.2,31.4,135.3,349.4
MAR08078,-1.0,-1.0,-1.0,-1.0,-1.0
MAR09803,-1.0,-1.0,-1.0,-1.0,-1.0
MAR09804,392.59999999999997,547.1999999999999,175.5,583.7,1352.6000000000001
MAR00718,-1.0,-1.0,-1.0,-1.0,-1.0
MAR00719,-1.0,-1.0,-1.0,-1.0,-1.0
MAR01434,1.9,27.7,19.5,225.1,41.6
MAR01436,6.5,12.3,6.1,3.3,5.7
MAR03163,690.1999999999999,288.90000000000003,63.699999999999996,335.7,602.4
MAR04461,63.7,261.3,35.4,208.0,802.6
MAR04604,16.8,15.4,42.4,441.9,18.5
MAR05351,-1.0,-1.0,-1.0,-1.0,-1.0
MAR07709,71.3,150.6,23.3,825.2,234.6
MAR04052,11.4,18.4,18.6,50.7,24.2
MAR04304,0.4,30.7,15.3,0.7,17.3
MAR04350,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04351,15.4,6.1,28.6,6.2,18.1
MAR04352,15.4,6.1,28.6,6.2,18.1
MAR04354,7.0,6.1,24.7,10.8,10.7
MAR04398,15.3,61.5,28.0,52.8,118.9
MAR04404,8.2,67.6,84.4,77.3,211.5
MAR04473,14.2,61.5,23.5,63.4,60.8
MAR04474,14.2,61.5,23.5,63.4,60.8
MAR04476,15.3,52.2,5.9,55.3,174.2
MAR04477,8.6,36.9,15.2,18.6,48.9
MAR04501,8.2,67.6,84.4,77.3,211.5
MAR04565,74.5,221.3,96.7,181.1,293.1
MAR04567,517.7,141.4,93.50000000000001,66.2,159.0
MAR09799,-1.0,-1.0,-1.0,-1.0,-1.0
MAR09800,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04623,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04625,8.8,98.3,74.5,100.8,211.3
MAR04710,7.0,6.1,24.7,10.8,10.7
MAR04841,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08074,-1.0,-1.0,-1.0,-1.0,-1.0
MAR08653,8.8,98.3,74.5,100.8,211.3
MAR03998,11.8,12.299999999999999,15.100000000000001,127.4,48.9
MAR04000,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04002,590.0,522.5,183.39999999999998,731.9,1208.0
MAR04004,590.0,522.5,183.39999999999998,731.9,1208.0
MAR04010,61.0,209.0,113.0,107.69999999999999,304.2
MAR04081,61.0,209.0,113.0,107.69999999999999,304.2
MAR04082,61.0,209.0,113.0,107.69999999999999,304.2
MAR04012,103.39999999999999,86.10000000000001,30.0,154.0,67.8
MAR04014,103.1,15.4,23.0,4.5,46.400000000000006
MAR04020,165.7,531.7,473.4,379.5,784.4
MAR04022,-1.0,-1.0,-1.0,-1.0,-1.0
MAR04038,32.4,24.6,6.4,25.1,47.4
MAR04040,76.2,67.6,66.4,24.9,93.0
MAR04042,10.0,89.1,45.6,34.5,97.1
MAR04046,19.4,15.4,27.0,10.6,18.9
MAR04048,103.1,15.4,23.0,4.5,46.400000000000006
MAR04080,3.6,6.1,5.9,14.8,4.6
MAR04085,46.0,375.0,174.1,348.6,647.4
MAR04086,46.0,375.0,174.1,348.6,647.4
MAR04134,11.8,12.299999999999999,15.100000000000001,127.4,48.9
MAR04135,165.7,531.7,473.4,379.5,784.4
MAR04168,14.7,49.2,30.0,35.9,97.8
