Task,Sample,Expression
002,Sample001,41.40738772
002,Sample002,42.26247914
002,Sample003,43.64778889
002,Sample004,38.32426407
002,Sample005,46.61382048
002,Sample006,43.25373875
005,Sample001,41.40738772
005,Sample002,42.26247914
005,Sample003,43.64778889
005,Sample004,38.32426407
005,Sample005,46.61382048
005,Sample006,43.25373875
005,Sample007,18.19597204
