,sample_1,sample_2
"('MAR04360', 'ENSG00000180011')","{'ENSG00000180011': ('ENSG00000180011', 1, 11.8)}","{'ENSG00000180011': ('ENSG00000180011', 1, nan)}"
"('MAR04363', 'ENSG00000074800 or ENSG00000108515 or ENSG00000111674')","{'ENSG00000074800': ('ENSG00000074800', 0.637837837837838, 94.4), 'ENSG00000108515': ('ENSG00000108515', 0.014864864864864867, 2.2), 'ENSG00000111674': ('ENSG00000111674', 0.3472972972972973, 51.4)}","{'ENSG00000074800': ('ENSG00000074800', 0.05233984552476148, 57.6), 'ENSG00000108515': ('ENSG00000108515', 0.010995002271694684, 12.1), 'ENSG00000111674': ('ENSG00000111674', 0.9366651522035438, 1030.8)}"
"('MAR04365', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000164708': ('ENSG00000164708', 0.18413597733711046, 6.5), 'ENSG00000171314': ('ENSG00000171314', 0.6402266288951841, 22.6), 'ENSG00000172331': ('ENSG00000172331', 0.17563739376770537, 6.2)}","{'ENSG00000164708': ('ENSG00000164708', 1, nan), 'ENSG00000171314': ('ENSG00000171314', 1, nan), 'ENSG00000172331': ('ENSG00000172331', 1, nan)}"
"('MAR04368', 'ENSG00000096006 or ENSG00000102144 or ENSG00000170950')","{'ENSG00000102144': ('ENSG00000102144', 1, 19.2)}","{'ENSG00000102144': ('ENSG00000102144', 1, 292.1)}"
"('MAR04370', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.16666666666666669, 16.1), 'ENSG00000170634': ('ENSG00000170634', 0.8333333333333334, 80.5)}","{'ENSG00000119640': ('ENSG00000119640', 1, 1022.3), 'ENSG00000170634': ('ENSG00000170634', 1, nan)}"
"('MAR04371', 'ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784')","{'ENSG00000164708': ('ENSG00000164708', 0.18413597733711046, 6.5), 'ENSG00000171314': ('ENSG00000171314', 0.6402266288951841, 22.6), 'ENSG00000172331': ('ENSG00000172331', 0.17563739376770537, 6.2)}","{'ENSG00000164708': ('ENSG00000164708', 1, nan), 'ENSG00000171314': ('ENSG00000171314', 1, nan), 'ENSG00000172331': ('ENSG00000172331', 1, nan)}"
"('MAR04372', 'ENSG00000119640 or ENSG00000170634')","{'ENSG00000119640': ('ENSG00000119640', 0.16666666666666669, 16.1), 'ENSG00000170634': ('ENSG00000170634', 0.8333333333333334, 80.5)}","{'ENSG00000119640': ('ENSG00000119640', 1, 1022.3), 'ENSG00000170634': ('ENSG00000170634', 1, nan)}"
"('MAR04373', 'ENSG00000105679 or ENSG00000111640')","{'ENSG00000111640': ('ENSG00000111640', 1, 216.4)}","{'ENSG00000111640': ('ENSG00000111640', 1, 87.6)}"
"('MAR04375', 'ENSG00000109107 or ENSG00000136872 or ENSG00000149925')","{'ENSG00000109107': ('ENSG00000109107', 0.5386852821407796, 92.6), 'ENSG00000136872': ('ENSG00000136872', 0.0017452006980802795, 0.3), 'ENSG00000149925': ('ENSG00000149925', 0.45956951716114025, 79.0)}","{'ENSG00000109107': ('ENSG00000109107', 0.022058823529411766, 6.3), 'ENSG00000136872': ('ENSG00000136872', 0.025210084033613443, 7.2), 'ENSG00000149925': ('ENSG00000149925', 0.9527310924369748, 272.1)}"
"('MAR04377', 'ENSG00000130957 or ENSG00000165140')","{'ENSG00000130957': ('ENSG00000130957', 1, 0.3)}","{'ENSG00000130957': ('ENSG00000130957', 1, 4.4)}"
