,sample_1,sample_2,sample_3
MAR05351_f,2410.3,11.4,95.6
MAR07709_f,71.3,825.2,82.9
MAR04052,11.5,63.800000000000004,20.5
MAR04304,0.4,0.7,3.9
MAR04350_f,6.6,37.7,6.8
MAR04351_f,15.4,6.2,21.5
MAR04352_f,15.4,6.2,21.5
MAR04354_f,7.0,10.8,2.9
MAR04398_f,15.3,52.8,18.5
MAR04404_f,8.2,77.3,7.8
MAR04473,14.2,63.4,20.5
MAR04474,14.2,63.4,20.5
MAR04476_f,15.3,55.3,3.9
MAR04477_f,8.6,18.6,13.7
MAR04501_f,8.2,77.3,7.8
MAR04565_f,74.5,181.1,89.8
MAR04567,517.7,66.2,278.2
MAR09799_f,0.5,20.3,2.0
MAR09800_f,1.4,387.6,2.9
MAR04623,14.4,140.1,70.3
MAR04625,8.8,100.8,28.3
MAR04710_f,7.0,10.8,2.9
MAR04841_f,2.4,2.1,6.9
MAR08074,6.6,37.7,6.8
MAR08653_f,23.200000000000003,240.89999999999998,98.6
MAR03998,49.6,148.8,40.0
MAR04000,64.39999999999999,81.29999999999998,181.60000000000002
MAR04002_f,793.6999999999999,796.0999999999999,298.6
MAR04004_f,793.6999999999999,796.0999999999999,298.6
MAR04010,78.3,143.50000000000003,144.50000000000003
MAR04081,78.3,143.50000000000003,144.50000000000003
MAR04082,78.3,143.50000000000003,144.50000000000003
MAR04012,103.39999999999999,154.0,33.2
MAR04014,365.3,42.8,507.5
MAR04020_f,165.7,379.5,97.6
MAR04022,64.39999999999999,81.29999999999998,181.60000000000002
MAR04038_f,32.4,25.1,7.8
MAR04040,76.2,24.9,99.5
MAR04042,152.4,51.9,227.4
MAR04046,19.4,10.6,22.4
MAR04048,365.3,42.8,507.5
MAR04080,5.4,15.100000000000001,14.7
MAR04085,46.0,348.6,55.6
MAR04086,46.0,348.6,55.6
MAR04134,49.6,148.8,40.0
MAR04135_f,165.7,379.5,97.6
MAR04168,14.7,35.9,17.6
MAR04171,298.0,3.8,485.0
MAR04290,6.1,0.7,2.0
MAR04406,4.0,5.5,3.9
MAR04412_f,205.3,108.39999999999999,238.1
MAR04417,78.3,143.50000000000003,144.50000000000003
MAR04418,25.5,21.8,17.6
MAR04419,69.7,35.8,126.8
MAR04421,298.0,3.8,485.0
MAR04449,78.3,143.50000000000003,144.50000000000003
MAR04450,78.3,143.50000000000003,144.50000000000003
MAR04451,-1.0,-1.0,-1.0
MAR04452,25.5,21.8,17.6
MAR04453,19.4,10.6,22.4
MAR04480_f,1993.1,1410.0000000000002,590.4000000000001
MAR04481,17.6,6.300000000000001,7.8
MAR04482,17.6,6.300000000000001,7.8
MAR04486,151.29999999999998,0.8999999999999999,43.9
MAR04487,151.29999999999998,0.8999999999999999,43.9
MAR04488,151.29999999999998,0.8999999999999999,43.9
MAR04489,151.29999999999998,0.8999999999999999,43.9
MAR04492,151.29999999999998,0.8999999999999999,43.9
MAR04493,151.29999999999998,0.8999999999999999,43.9
MAR04495,151.29999999999998,0.8999999999999999,43.9
MAR04496,151.29999999999998,0.8999999999999999,43.9
MAR04518,0.1,47.5,1.0
MAR04519,-1.0,-1.0,-1.0
MAR04520,-1.0,-1.0,-1.0
MAR04573,298.0,3.8,485.0
MAR04574_f,4.8,32.0,15.6
MAR04600,35.3,82.3,20.5
MAR04602,78.3,143.50000000000003,144.50000000000003
MAR04603_f,4.8,32.0,15.6
MAR04611,64.4,33.6,48.8
MAR04612,64.4,33.6,48.8
