,sample_1,sample_2
"('MAR07383', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07384', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07385', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07386', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07387', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07388', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07389', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07390', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07391', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07392', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07393', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07394', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07395', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07396', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07397', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07398', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07399', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07400', 'ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386')","{'ENSG00000170266': ('ENSG00000170266', 1, 0.4012)}","{'ENSG00000170266': ('ENSG00000170266', 1, 2.646)}"
"('MAR07401', 'ENSG00000135677')","{'ENSG00000135677': ('ENSG00000135677', 1, 93.12)}","{'ENSG00000135677': ('ENSG00000135677', 1, 70.65)}"
"('MAR07402', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
"('MAR07403', 'ENSG00000049860 or ENSG00000169660 or ENSG00000213614')","{'ENSG00000049860': ('ENSG00000049860', 0.999742521381828, 589.8), 'ENSG00000213614': ('ENSG00000213614', 0.0002574786181720917, 0.1519)}","{'ENSG00000049860': ('ENSG00000049860', 0.9998256439272007, 615.3), 'ENSG00000213614': ('ENSG00000213614', 0.00017435607279926645, 0.1073)}"
