,sample_1,sample_2
ENSG00000187608,0.0,0.0
ENSG00000176022,1.0,1.0
ENSG00000116237,1.0,1.0
ENSG00000142583,1.0090936235792434,1.0150368793305846
ENSG00000116649,2.0,2.0
ENSG00000117118,1.0,1.0
ENSG00000053371,8.0,8.0
ENSG00000188257,6.0,6.0
ENSG00000158825,2.0,2.0
ENSG00000117308,3.0,3.0
ENSG00000117682,2.334179715051488,2.5443086325439266
ENSG00000116514,0.007988962316821214,0.005184518103559676
ENSG00000084072,0.008525912995225487,0.007623596718480138
ENSG00000171793,2.0,2.0
ENSG00000127125,2.0,2.0
ENSG00000117410,0.2699188109532134,0.16621005110076909
ENSG00000117411,15.616066904859464,4.3914102969563675
ENSG00000117450,0.11355634312305021,0.11872429142953739
ENSG00000187048,2.2930023301290983,2.1043682563556465
ENSG00000162365,0.7745620890924332,0.9748836215488197
ENSG00000116171,6.855634768302714,6.7942529446954225
ENSG00000162607,0.002172291877035842,0.0006647048346765219
ENSG00000079739,1.0,1.0
ENSG00000254685,1.0,1.0
ENSG00000116791,5.0,5.0
ENSG00000117054,56.43462336039364,61.44128039585438
ENSG00000097033,0.3706324718581633,0.5568298271802701
ENSG00000153936,1.9510401035828404,1.9472486768312265
ENSG00000137944,6.0,6.0
ENSG00000023909,1.0,1.0
ENSG00000162688,3.0,3.0
ENSG00000117620,2.0,2.0
ENSG00000240038,9.247061315259979,7.87852681455955
ENSG00000243480,5.59144339722546,6.131811328882189
ENSG00000237763,0.3487592219986588,0.5782898987723455
ENSG00000174876,0.35087719298245623,0.5817359465862589
ENSG00000187733,0.46185887253344604,0.8296360111996554
ENSG00000213366,2.0594032726700617,2.553013875204448
ENSG00000134184,2.566700610187296,5.291904796741632
ENSG00000134202,1.5763024525377811,3.852009644152769
ENSG00000163399,0.0005925823880036437,0.00045301291991103394
ENSG00000203859,19.88799526907155,16.449559471365646
ENSG00000203857,3.112004730928443,6.550440528634363
ENSG00000092621,2.0,2.0
ENSG00000134240,1.0,1.0
ENSG00000263353,0.005049797112172114,0.004037500981315749
ENSG00000131781,0.15990766670963058,0.14297872340425533
ENSG00000163131,4.078723574972735,4.445134821232074
ENSG00000143363,0.23574757977769809,0.08391011662084004
ENSG00000143554,7.1789920399859986,6.967995276978265
ENSG00000163344,2.0,2.0
ENSG00000160688,1.0,1.0
ENSG00000143224,3.0,3.0
ENSG00000143149,11.959426755363669,13.451612035405038
ENSG00000143158,1.25,1.25
ENSG00000143153,0.00229721852971478,0.0024674847922726423
ENSG00000007933,2.7766776419858687,2.7909312870596445
ENSG00000010932,1.0634146913045006,1.0660899895361005
ENSG00000116199,6.0,6.0
ENSG00000135821,1.0,1.0
ENSG00000123684,0.18453426681122748,0.346163486516625
ENSG00000136628,2.0,2.0
ENSG00000143815,2.0,2.0
ENSG00000143819,44.46373042405378,44.49840227540014
ENSG00000143799,0.014174060198182513,0.011378318676280582
ENSG00000069248,1.0252302749628313,1.0086147581550495
ENSG00000054267,0.6658202849485118,0.45569136745607336
ENSG00000116984,2.0,2.0
ENSG00000143653,1.0,1.0
ENSG00000182551,2.0,2.0
ENSG00000134326,2.0,2.0
ENSG00000171848,3.5,3.5
ENSG00000143870,0.8960866455502198,0.9137747730556387
ENSG00000115884,1.719568752635066,1.760468013650398
ENSG00000119772,2.618631630442379,1.8644137140986825
ENSG00000084754,231.30514174401114,231.37743190184267
ENSG00000171174,3.0,3.0
ENSG00000115760,0.007757411561449145,0.008294681401734536
ENSG00000138061,1.2371257687862778,1.21809513883995
ENSG00000170340,16.447127356972786,22.242334911043383
ENSG00000014641,2.0,2.0
ENSG00000115902,18.975760446485573,18.931206752102277
ENSG00000198380,1.0,1.0
ENSG00000116096,4.0,4.0
ENSG00000144048,1.6415561974624777,1.8727823510260473
ENSG00000124356,0.0052943477314497354,0.0043189279307837706
ENSG00000065911,3.228906080543706,3.204406364749082
ENSG00000168906,2.0,2.0
ENSG00000115525,3.5826044703595725,3.4877978200057878
ENSG00000163586,58.329490367503354,64.93407678692
ENSG00000153574,2.0,2.0
ENSG00000153201,1.0083394569099577,1.0184969842310896
ENSG00000153086,1.0,1.0
ENSG00000073734,1.9428166969933551,2.7191926480313295
ENSG00000128708,0.2753303964757709,0.2614905551026021
ENSG00000151689,2.0,2.0
ENSG00000196950,0.07300221495045985,0.14492143658810325
ENSG00000119013,1.0,1.0
ENSG00000115361,1.3962329362371442,1.3553499880821112
ENSG00000138363,2.0,2.0
ENSG00000115657,3.0257376107991543,3.011596020931621
ENSG00000242366,6.536673454817235,6.600162819655035
ENSG00000242515,5.807310456541253,5.87939916689637
ENSG00000241119,7.98693668714208,7.462193419780157
ENSG00000244122,2.784115525086861,2.7850940746778314
ENSG00000167165,3.0061925228597945,3.080296217555434
ENSG00000288705,2.6375945268800844,2.685353823720498
ENSG00000244474,4.375326131032849,4.4511415355576265
ENSG00000288702,10.553597544681876,10.635929755583696
ENSG00000241635,13.192283359819498,13.25026890457237
ENSG00000114166,0.2884850709740577,0.3351637017318101
ENSG00000170266,45.05990585959124,45.236693885304035
ENSG00000188167,7.0,7.0
ENSG00000060971,130.8721226112949,133.0804350895774
ENSG00000211456,1.319478715681865,1.0137351695370433
ENSG00000010256,1.0,1.0
ENSG00000172053,1.0,1.0
ENSG00000233276,2.9685825947253845,2.9967701575962815
ENSG00000023330,3.0,3.0
ENSG00000163686,8.280431247364934,8.239531986349602
ENSG00000168291,0.5,0.5
ENSG00000144744,0.030793482925576456,0.029942622597745643
ENSG00000080819,1.0,1.0
ENSG00000114423,0.001279525488848848,0.0003156706234855294
ENSG00000121579,0.01068115983053566,0.011993777004840486
ENSG00000173193,0.16414129063181682,0.16671529196015503
ENSG00000065485,0.07719423725349954,0.05460294959518032
ENSG00000065534,1.0,1.0
ENSG00000180767,2.6703669441874807,2.874555196531556
ENSG00000163902,0.25,0.25
ENSG00000017260,1.0,1.0
ENSG00000114054,1.0,1.0
ENSG00000184432,4.0,4.0
ENSG00000163659,0.4288411311858671,0.4285624973950736
ENSG00000163581,4.900870019324852,4.945432394041973
ENSG00000121879,2.0,2.0
ENSG00000114770,5.344734864719136,4.8475301790397385
ENSG00000163882,2.0,2.0
ENSG00000163959,5.839423434440908,5.528065419609961
ENSG00000161267,1.0,1.0
ENSG00000002549,3.0,3.0
ENSG00000109814,1.0,1.0
ENSG00000078140,0.08835829222923047,0.09022028863191507
ENSG00000128050,2.0,2.0
ENSG00000135220,0.10356623467579926,0.13684243096783485
ENSG00000171234,43.003466499537794,43.02127910520277
ENSG00000135226,0.012937056924903205,0.012038745830400684
ENSG00000173597,3.800887549915493,3.813018517626963
ENSG00000156136,6.0,6.0
ENSG00000163631,2.0,2.0
ENSG00000145293,1.0,1.0
ENSG00000198189,0.04671461964978964,0.03203711594317197
ENSG00000170502,3.9012390301733486,3.9759349048601442
ENSG00000118777,10.499256828435762,10.284933436788148
ENSG00000197894,7.007127318565418,7.006415069121595
ENSG00000187758,8.9711973639863,9.255573853540907
ENSG00000196616,10.83242044567509,10.50979850658332
ENSG00000248144,0.07095882954701967,0.09952899758004725
ENSG00000138801,4.0,4.0
ENSG00000138796,64.26357851374856,63.98232199632151
ENSG00000170522,40.47154947716047,38.0784951645595
ENSG00000151012,1.0242395535144264,1.0687932478977256
ENSG00000109452,3.0,3.0
ENSG00000164116,1.099052091486216,0.5815112095211736
ENSG00000061918,1.099052091486216,0.5815112095211736
ENSG00000052802,13.988383755493553,13.988411947119308
ENSG00000129187,1.0,1.0
ENSG00000151726,94.45832167618327,103.8892925567165
ENSG00000151729,0.06525664425075886,0.08695428494994291
ENSG00000066230,3.0,3.0
ENSG00000145545,4.0,4.0
ENSG00000112941,0.027411964916873935,0.03148804885418489
ENSG00000242110,11.003526102862416,11.002156491931327
ENSG00000113492,3.0,3.0
ENSG00000079215,4.135388516331365,4.631260234189144
ENSG00000112972,2.0,2.0
ENSG00000112992,1.0,1.0
ENSG00000145675,1.0,1.0
ENSG00000085231,0.03142845655717493,0.08440569858295772
ENSG00000273841,0.035905062415037825,0.09479854645765363
ENSG00000049860,60.98532365246893,60.99006167345043
ENSG00000164347,0.016036932538315334,0.01475765795028351
ENSG00000113161,3.0,3.0
ENSG00000113163,3.891532817767202,3.851327517994185
ENSG00000228716,6.0,6.0
ENSG00000173221,1.0,1.0
ENSG00000168938,0.19421740789123826,0.23030253964515623
ENSG00000164904,5.087161077282317,5.055721899063971
ENSG00000072682,2.5,2.5
ENSG00000164405,1.0,1.0
ENSG00000113552,1.0,1.0
ENSG00000120137,5.0,5.0
ENSG00000113732,3.100198412698413e-06,3.1001984126984123e-06
ENSG00000160883,6.58267426889829,3.5694164989939634
ENSG00000197977,2.0475755234714885,4.307572140649442
ENSG00000204228,4.661354785962618,4.755468042840028
ENSG00000096060,0.01567900949121975,0.016357306877060763
ENSG00000124713,1.0,1.0
ENSG00000137204,7.0,7.0
ENSG00000171453,2.0,2.0
ENSG00000146233,2.0,2.0
ENSG00000153291,1.9279394794204385,1.9033942240991126
ENSG00000096006,0.000962057608533013,0.0018832589628203487
ENSG00000244067,49.689534163754416,40.48540748446281
ENSG00000001084,1.0,1.0
ENSG00000112309,1.0,1.0
ENSG00000013375,1.0,1.0
ENSG00000065833,1.0,1.0
ENSG00000135318,24.0,24.0
ENSG00000164414,2.0,2.0
ENSG00000198833,0.0006131021196026995,0.0004284687994404625
ENSG00000112367,0.23945285105556927,0.3708545354485043
ENSG00000120265,1.0,1.0
ENSG00000112096,1.0005032468843098,1.000297352182542
ENSG00000120437,2.0,2.0
ENSG00000175003,67.0,67.0
ENSG00000189043,3.0,3.0
ENSG00000106080,0.0012051883793250942,0.0020368434997644846
ENSG00000136250,1.0,1.0
ENSG00000106605,2.0,2.0
ENSG00000106636,0.37836970777780926,0.39889263983459355
ENSG00000196262,0.7326504895897157,0.6942808918197519
ENSG00000132437,10.0,10.0
ENSG00000146648,0.42408575990268377,0.4121795622146787
ENSG00000169919,14.0,14.0
ENSG00000127948,1.0,1.0
ENSG00000146701,2.0,2.0
ENSG00000135218,0.9147173094101017,0.7914342501217305
ENSG00000085563,46.68891006622421,47.08929157193673
ENSG00000001630,7.0,7.0
ENSG00000004864,3.0,3.0
ENSG00000106258,15.592865745273324,16.276231677150488
ENSG00000160870,1.965737256198104,2.7015416093049582
ENSG00000160868,49.27597095043813,58.05324818767536
ENSG00000021461,0.015231557330349492,0.010783593207076203
ENSG00000106397,4.0,4.0
ENSG00000105835,1.0,1.0
ENSG00000091140,7.0,7.0
ENSG00000128524,1.8238622458616547e-26,2.82387895613057e-26
ENSG00000198074,9.473416105658648,9.47743107348451
ENSG00000227471,0.007061332269197315,0.002177408655167664
ENSG00000080802,0.02978794378870172,0.022395366002702772
ENSG00000106462,1.9916217833632557,2.4285263490059954
ENSG00000009335,0.011199307451063456,0.007059012063199101
ENSG00000175806,1.0,1.0
ENSG00000079459,5.0,5.0
ENSG00000104763,4.0,4.0
ENSG00000171428,0.2572145545796738,0.21422584121662075
ENSG00000156006,0.7427854454203263,0.7857741587833792
ENSG00000147416,4.876186143397662e-16,1.1033828457636115e-15
ENSG00000130227,1.0,1.0
ENSG00000120915,10.536269575946225,10.501597724599876
ENSG00000104687,4.0,4.0
ENSG00000083168,0.12206314243759175,0.13310281824343573
ENSG00000070501,0.47082951520705163,0.5195528060940507
ENSG00000120992,1.9736974603750026,1.9584486053103713
ENSG00000167910,4.0,4.0
ENSG00000137563,19.0,19.0
ENSG00000170323,12.424569650450279,5.905800404889983
ENSG00000104267,2.9936631875749233,2.9906195546207526
ENSG00000104325,19.11941828283674,19.11910681139316
ENSG00000147669,2.0,2.0
ENSG00000048392,3.5,3.5
ENSG00000147647,2.0,2.0
ENSG00000182197,8.0,8.0
ENSG00000008513,11.0,11.0
ENSG00000179142,12.0,12.0
ENSG00000104522,2.0,2.0
ENSG00000179091,1.0,1.0
ENSG00000147853,2.9979256863884363,2.9178045120566347
ENSG00000147872,0.9978573660592762,0.9985723628733415
ENSG00000107159,0.006336812425076426,0.009380445379247876
ENSG00000135069,1.0,1.0
ENSG00000135047,0.3961339544946197,0.29540686633873237
ENSG00000090054,1.0,1.0
ENSG00000196305,1.0,1.0
ENSG00000136881,117.35682489954803,117.90997325025442
ENSG00000148229,0.021045881123682976,0.011649627195558634
ENSG00000095303,21.0,21.0
ENSG00000187024,0.0447609838926491,0.10148189833051961
ENSG00000136877,19.0,19.0
ENSG00000136908,2.0,2.0
ENSG00000106976,0.0025607360020858364,0.005057082788058934
ENSG00000130707,1.0,1.0
ENSG00000170835,8.474959322763024,8.327423229849044
ENSG00000160326,0.021248184748344136,0.013529625490806723
ENSG00000067064,2.0,2.0
ENSG00000067057,1.2532610876981738,1.7952630936393605
ENSG00000187134,2.4848152148803635,2.48081966685716
ENSG00000151632,2.613858813578933,2.693170782428559
ENSG00000196139,13.582326441923104,13.687397723128544
ENSG00000198610,10.675075857712752,10.649855949562706
ENSG00000165629,1.0,1.0
ENSG00000165609,0.09876096982665145,0.024065095139856114
ENSG00000181915,1.0,1.0
ENSG00000156515,5.41732573110171,8.430583501006037
ENSG00000180817,4.764252420222302,4.9160898833791595
ENSG00000166228,7.0,7.0
ENSG00000197746,2.9976782488023765,2.9852115155681496
ENSG00000156650,0.08428169358786099,0.08384986395025588
ENSG00000148672,2.0,2.0
ENSG00000171862,7.0,7.0
ENSG00000107798,124.5270445277736,124.67394068220338
ENSG00000165338,0.003059975520195839,0.002944981503289398
ENSG00000108242,1.0167551481979042,1.0048090016118856
ENSG00000165841,2.985687275661666,3.192475362137487
ENSG00000138109,52.029853078042116,41.17937658158143
ENSG00000138115,29.75316989737282,28.107560492167714
ENSG00000171314,2.0,2.0
ENSG00000171307,0.4819731838725809,0.33837254952691964
ENSG00000120053,8.0,8.0
ENSG00000023839,52.46541320342935,53.07257640533202
ENSG00000119915,8.759265227199478,8.838151353341932
ENSG00000173915,1.0,1.0
ENSG00000197142,31.775610516017142,26.759120576753904
ENSG00000023041,0.13932686047499082,0.18729730550609083
ENSG00000165646,10.0,10.0
ENSG00000165672,1.3520265929431465,1.3371274018143915
ENSG00000130649,53.80738844775329,51.63975529072038
ENSG00000142082,3.0,3.0
ENSG00000177156,1.0,1.0
ENSG00000117984,10.512557119465244,10.250618261954012
ENSG00000167325,3.5,3.5
ENSG00000011405,5.0,5.0
ENSG00000134333,6.0,6.0
ENSG00000121691,6.0,6.0
ENSG00000110435,1.0,1.0
ENSG00000110436,0.8646114836686352,0.36873976581085677
ENSG00000180210,1.0,1.0
ENSG00000156587,0.1916059437879637,0.1810611497529026
ENSG00000110446,2.0,2.0
ENSG00000176340,2.0,2.0
ENSG00000149782,4.0,4.0
ENSG00000174684,5.780695796543659,0.7407001888703363
ENSG00000175482,0.0018105504312380652,0.0019036933964282675
ENSG00000172613,2.0,2.0
ENSG00000084207,6.681281968878408,9.742924957529262
ENSG00000172893,5.0,5.0
ENSG00000118363,2.0,2.0
ENSG00000137491,8.876196009128712,9.147902021714213
ENSG00000159063,2.0,2.0
ENSG00000196371,11.215175715952578,11.188196173903322
ENSG00000087053,0.061058198095931465,0.008361089753422679
ENSG00000149313,1.0,1.0
ENSG00000075239,2.0,2.0
ENSG00000150768,1.25,1.25
ENSG00000166741,1.0,1.0
ENSG00000004478,0.00748546259580814,0.009040371329879102
ENSG00000078237,1.0,1.0
ENSG00000111640,1.0,1.0
ENSG00000111669,1.0,1.0
ENSG00000111674,1.0,1.0
ENSG00000173262,0.0332129068820175,0.017659119082076926
ENSG00000059804,3.035575265465543,3.0083419820545587
ENSG00000023697,1.0,1.0
ENSG00000111700,94.02834787564643,94.03192419298315
ENSG00000134538,146.12488622551928,145.88316508968273
ENSG00000139163,1.0,1.0
ENSG00000060982,3.0,3.0
ENSG00000087470,0.0247796473737195,0.019259109172202967
ENSG00000110911,1.9269977850495401,1.8550785634118967
ENSG00000062485,1.0,1.0
ENSG00000110955,1.0,1.0
ENSG00000118596,68.0,68.0
ENSG00000135677,17.0,17.0
ENSG00000111581,1.0252302749628313,1.0086147581550495
ENSG00000135679,0.16365380080878558,0.1374385541975158
ENSG00000257594,2.0,2.0
ENSG00000075188,1.0252302749628313,1.0086147581550495
ENSG00000198431,4.511733416770964,4.821669533007011
ENSG00000171310,1.3296330558125191,1.1254448034684446
ENSG00000013503,2.0,2.0
ENSG00000151148,0.007098737301147718,0.007790922557663961
ENSG00000111275,18.20652677535758,17.036557947275256
ENSG00000111445,0.01335253305406467,0.0085956012149934
ENSG00000110871,1.0,1.0
ENSG00000073060,2.2688333646439975,2.3329225713698913
ENSG00000177192,1.0,1.0
ENSG00000136143,6.0,6.0
ENSG00000005810,0.003878244524239766,0.0024613000044535196
ENSG00000125257,7.8467194047907745,8.904364411135223
ENSG00000129484,0.39284351798413364,0.39334389196849073
ENSG00000129562,0.25,0.25
ENSG00000155465,18.572007291877657,15.881684654710705
ENSG00000100938,1.0,1.0
ENSG00000129467,0.9009479085137837,1.4184887904788266
ENSG00000100479,0.024209102413055808,0.01402649448959145
ENSG00000100504,2.0,2.0
ENSG00000100644,1.0,1.0
ENSG00000126821,3.7384540377041566,3.7342668542349813
ENSG00000100714,4.771093919456294,4.795593635250918
ENSG00000176153,0.12042855382785783,0.17422332244791533
ENSG00000100554,1.8238622458616547e-26,2.82387895613057e-26
ENSG00000100652,39.0,39.0
ENSG00000100577,8.181479734887219,8.647704468065129
ENSG00000100596,1.0,1.0
ENSG00000198668,0.584259289788651,0.6516388133177873
ENSG00000100600,0.012585351067402205,0.008840050475186566
ENSG00000012963,0.0184318091328046,0.023481367858579558
ENSG00000196136,1.0,1.0
ENSG00000090060,2.0,2.0
ENSG00000140105,1.0,1.0
ENSG00000140284,49.68052060571802,45.57041455256625
ENSG00000069943,4.718110864584153,3.867990233917925
ENSG00000103569,4.0,4.0
ENSG00000140297,3.0,3.0
ENSG00000186198,0.060010354790245385,0.08708144781710483
ENSG00000074696,28.0,28.0
ENSG00000213614,3.0151912384721538,3.0102870082951565
ENSG00000140459,6.0,6.0
ENSG00000140465,0.995423939241515,1.5451639581513659
ENSG00000140505,8.219676173537435,8.123798932083053
ENSG00000178802,1.0,1.0
ENSG00000140367,0.010728825836562438,0.021154221024557874
ENSG00000140374,0.759874021109976,0.7195402298850575
ENSG00000166411,1.0,1.0
ENSG00000103876,1.0,1.0
ENSG00000140612,2.0,2.0
ENSG00000166819,0.0021426339407236926,0.0014276371266586092
ENSG00000103266,0.012656877943047002,0.005549560744190529
ENSG00000197253,0.5001516070345665,0.5002145922746781
ENSG00000172236,0.4998483929654336,0.49978540772532193
ENSG00000167969,67.45400125707374,67.26767938462308
ENSG00000162066,1.0,1.0
ENSG00000005339,0.02130241474955131,0.018712979243818824
ENSG00000140650,1.0,1.0
ENSG00000187555,0.06519057742485763,0.06902158944295655
ENSG00000103222,20.232280384301763,19.54051228040804
ENSG00000197165,0.01315072200169913,0.03325490342177169
ENSG00000196502,5.237624383143735,5.217190187619346
ENSG00000213648,1.3603477369387231,1.3579512446140072
ENSG00000149925,3.2989690721649483,3.1325008671522716
ENSG00000261052,6.63694950441751,6.631336469886685
ENSG00000102893,0.057008144020574365,0.02966705531804638
ENSG00000198848,1.9444512878811429,1.9553288428577777
ENSG00000102900,1.0101269716492642,1.0264719728641154
ENSG00000172831,1.0535448615825325,1.0433072450899006
ENSG00000103066,0.07559439382527865,0.1376860957620042
ENSG00000181019,4.0,4.0
ENSG00000090861,1.0,1.0
ENSG00000103257,212.42799270812236,215.1183153452893
ENSG00000167699,1.0,1.0
ENSG00000007168,0.7979899497487437,0.700185492531485
ENSG00000132388,0.05519395097175671,0.05406281507742919
ENSG00000108523,0.3497246667790903,0.38402485794365626
ENSG00000108559,1.5577866261086522,1.5601001098472198
ENSG00000141485,2.0,2.0
ENSG00000072778,70.5618840107159,64.80278578201977
ENSG00000142494,3.0,3.0
ENSG00000072210,34.74688539199643,34.456108118255734
ENSG00000124422,0.28165602614605856,0.2007814887971015
ENSG00000109107,1.7010309278350517,1.867499132847728
ENSG00000276293,4.0,4.0
ENSG00000131473,1.0,1.0
ENSG00000068120,4.0,4.0
ENSG00000136448,1.0,1.0
ENSG00000108846,45.02526704078098,43.85186487459014
ENSG00000239672,36.0,36.0
ENSG00000159640,1.8951828024478268,1.9923611589016583
ENSG00000256525,0.055129379936291835,0.024570219939250328
ENSG00000167862,0.9552390161073508,0.8985181016694804
ENSG00000125450,1.0252302749628313,1.0086147581550495
ENSG00000161533,97.1452563108349,96.38936927007218
ENSG00000070731,8.417395529640427,8.512202179994212
ENSG00000167900,3.0,3.0
