,sample_1,sample_2,sample_3
"('MAR11696', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11698', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11700', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11702', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11704', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11706', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11708', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11710', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11712', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11714', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11716', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11718', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11720', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11722', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
"('MAR11724', 'ENSG00000085563 or ENSG00000103222')","{'ENSG00000085563': ('ENSG00000085563', 0.2661870503597123, 3.7), 'ENSG00000103222': ('ENSG00000103222', 0.7338129496402878, 10.2)}","{'ENSG00000085563': ('ENSG00000085563', 0.09313725490196079, 1.9), 'ENSG00000103222': ('ENSG00000103222', 0.9068627450980393, 18.5)}","{'ENSG00000085563': ('ENSG00000085563', 0.9807380738073807, 544.8), 'ENSG00000103222': ('ENSG00000103222', 0.01926192619261926, 10.7)}"
