,sample_1,sample_2,sample_3,sample_4
"('MAR02977', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02978', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02979', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02980', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02981', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02982', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02983', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02984', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02985', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02986', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02987', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02988', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02989', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02990', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02991', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02992', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02994', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02996', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02998', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
"('MAR02999', 'ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142')","{'ENSG00000068366': ('ENSG00000068366', 0.19974795211090104, 63.4), 'ENSG00000123983': ('ENSG00000123983', 0.20037807183364836, 63.6), 'ENSG00000151726': ('ENSG00000151726', 0.5869565217391304, 186.3), 'ENSG00000164398': ('ENSG00000164398', 0.012917454316320099, 4.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.520677966101695, 76.8), 'ENSG00000123983': ('ENSG00000123983', 0.021016949152542375, 3.1), 'ENSG00000151726': ('ENSG00000151726', 0.41694915254237297, 61.5), 'ENSG00000164398': ('ENSG00000164398', 0.04135593220338984, 6.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.3344262295081968, 30.6), 'ENSG00000123983': ('ENSG00000123983', 0.5387978142076502, 49.3), 'ENSG00000151726': ('ENSG00000151726', 0.11475409836065573, 10.5), 'ENSG00000164398': ('ENSG00000164398', 0.012021857923497269, 1.1)}","{'ENSG00000068366': ('ENSG00000068366', 0.030247310839385855, 32.9), 'ENSG00000123983': ('ENSG00000123983', 0.04238301002114553, 46.1), 'ENSG00000151726': ('ENSG00000151726', 0.920290521283442, 1001.0), 'ENSG00000164398': ('ENSG00000164398', 0.007079157856026478, 7.7)}"
