ID,Expression
MAR04388_f,248.36499815
MAR04379,124.53360228
MAR04358,70.86882942
MAR04363_f,138.49670625
MAR04368_f,144.24939703
MAR04391_f,47.39893125
MAR04394,253.90162546
MAR06412,21.87642981
MAR08514,84.26476667
MAR00710_f,45.99451847
MAR03977,137.60544428
MAR06914,36.89284336
MAR06916,1.14
MAR00397,371.17009241
MAR02368,141.65663497
MAR02371,297.95157241
MAR02374,1.14
MAR02376,1.14
MAR02378,103.84552175
MAR02380,141.65663497
MAR00410,243.77364869
MAR02591_f,125.53289599
MAR07672,61.11896378
MAR07673,61.11896378
MAR08709_f,355.05985736
MAR08746,61.79416222
MAR02590,39.8367086
MAR04898_f,1.14
MAR04926,82.45523481000001
MAR05043,33.00370028
MAR06328_f,104.30465669
MAR07638,226.75864774
MAR02197,171.60843827
MAR02303_f,51.18004257
MAR20069,43.75285962
MAR04365_r,170.69016838
MAR04373_r,82.99539358000001
MAR04375_r,178.92758948
MAR04381_r,51.15303464
MAR04002_r,415.94925367
MAR06409_r,54.25894751
MAR03958_r,45.13026446
MAR02593_r,90.1795051
MAR06638_r,355.05985736
MAR04888_r,78.80916318
MAR00060_r,39.8367086
MAR02196_r,171.60843827
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02387c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02046c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM01362c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
