ID,Expression
MAR04388_f,240.32895235
MAR04379,131.10984161
MAR04358,65.02719783
MAR04363_f,133.96345474
MAR04368_f,150.28377641
MAR04391_f,47.2605243
MAR04394,243.71028845
MAR06412,23.4348092
MAR08514,83.86886258999999
MAR00710_f,49.48868798
MAR03977,135.03844599
MAR06914,33.95017813
MAR06916,1.14
MAR00397,375.97330252
MAR02368,137.20797378
MAR02371,288.21492613
MAR02374,1.14
MAR02376,1.14
MAR02378,104.05915277
MAR02380,137.20797378
MAR00410,255.88700749
MAR02591_f,136.15252782
MAR07672,61.88040526
MAR07673,61.88040526
MAR08709_f,345.5412775600001
MAR08746,69.28807223
MAR02590,39.24695318
MAR04898_f,1.14
MAR04926,86.19475274999999
MAR05043,31.66337856
MAR06328_f,106.87367531
MAR07638,223.01182063
MAR02197,173.62085912
MAR02303_f,55.19591423
MAR20069,46.8696184
MAR04365_r,181.43897728
MAR04373_r,81.7384254
MAR04375_r,163.34003374
MAR04381_r,46.8109825
MAR04002_r,419.75476423
MAR06409_r,54.80500834
MAR03958_r,39.77467615
MAR02593_r,87.36747048
MAR06638_r,345.5412775600001
MAR04888_r,78.72844992
MAR00060_r,39.24695318
MAR02196_r,173.62085912
temporary_exchange_MAM01965c,-1.0
temporary_exchange_MAM02387c,-1.0
temporary_exchange_MAM01371c,-1.0
temporary_exchange_MAM02046c,-1.0
temporary_exchange_MAM02555c,-1.0
temporary_exchange_MAM02039c,-1.0
temporary_exchange_MAM02630c,-1.0
temporary_exchange_MAM01362c,-1.0
temporary_exchange_MAM01596c,-1.0
temporary_exchange_MAM01285c,-1.0
temporary_exchange_MAM02751c,-1.0
temporary_exchange_MAM02554c,-1.0
temporary_exchange_MAM02040c,-1.0
