,reaction_expression
MAR03905,222.4
MAR03907,315.0
MAR04097,108.1
MAR04099,-1.0
MAR04108,108.1
MAR04133,108.1
MAR04281,551.4
MAR04388,551.4
MAR04283,-1.0
MAR08357,1363.3
MAR04379,66.2
MAR04301,66.2
MAR04355,86.2
MAR04358,3.8
MAR04360,24.1
MAR04363,357.8
MAR04365,136.5
MAR04368,211.4
MAR04370,97.7
MAR04371,136.5
MAR04372,97.7
MAR04373,2146.8
MAR04375,90.7
MAR04377,-1.0
MAR04381,106.6
MAR04391,608.4
MAR04394,0.6
MAR04396,224.0
MAR04521,-1.0
MAR06412,15.3
MAR07745,51.6
MAR07747,-1.0
MAR08360,435.1
MAR08652,-1.0
MAR08757,-1.0
MAR03989,29.799999999999997
MAR04122,239.0
MAR04837,-1.0
MAR05395,13.8
MAR05396,13.8
MAR09727,-1.0
MAR05397,64.9
MAR05398,3.7
MAR05399,91.0
MAR05400,91.0
MAR05401,3.7
MAR08568,-1.0
MAR08569,-1.0
MAR08570,-1.0
MAR08571,-1.0
MAR08572,-1.0
MAR08573,-1.0
MAR08574,-1.0
MAR08575,-1.0
MAR08576,-1.0
MAR08577,-1.0
MAR08578,-1.0
MAR08579,-1.0
MAR08581,-1.0
MAR08591,11.1
MAR08592,18.7
MAR08580,-1.0
MAR08582,-1.0
MAR08587,11.1
MAR08589,18.7
MAR08583,-1.0
MAR08584,-1.0
MAR08585,0.9
MAR03944,597.8
MAR04128,40.8
MAR04130,21.0
MAR04131,74.8
MAR04132,74.8
MAR04303,29.799999999999997
MAR04414,21.0
MAR04415,35.2
MAR04416,42.6
MAR04774,66.2
MAR04775,66.2
MAR04831,-1.0
MAR04832,35.2
MAR07674,175.2
MAR08761,-1.0
MAR08762,90.7
MAR08764,-1.0
MAR08766,3.2
MAR08767,74.8
MAR00454,-1.0
MAR04297,6.3
MAR04310,-1.0
MAR04315,-1.0
MAR04316,3.2
MAR04317,196.8
MAR04318,196.8
MAR04319,0.6
MAR04320,196.8
MAR04356,90.7
MAR04383,18.8
MAR04385,126.8
MAR04386,22.6
MAR04387,-1.0
MAR04399,17.1
MAR04400,73.0
MAR04401,-1.0
MAR04402,-1.0
MAR04403,-1.0
MAR04490,0.6
MAR04706,6.3
MAR08768,73.0
MAR04590,4143.6
MAR04591,-1.0
MAR04592,3.2
MAR04593,-1.0
MAR04594,-1.0
MAR04595,-1.0
MAR08341,420.9
MAR08342,-1.0
MAR08344,315.0
MAR08352,-1.0
MAR08353,-1.0
MAR08726,-1.0
MAR08727,75.8
MAR08728,-1.0
MAR08729,11.3
MAR06537,315.0
MAR01568,-1.0
MAR03853,189.60000000000002
MAR03854,3.2
MAR03855,3.2
MAR03857,236.7
MAR03859,-1.0
MAR04087,10.7
MAR04089,6.8
MAR04091,10.7
MAR04093,-1.0
MAR04095,-1.0
MAR04101,-1.0
MAR04103,-1.0
MAR04143,-1.0
MAR04193,3.8
MAR08497,420.9
MAR08498,-1.0
MAR08499,-1.0
MAR08500,420.9
MAR08501,949.2
MAR08502,198.3
MAR08503,380.59999999999997
MAR08504,1363.3
MAR08506,1363.3
MAR08507,222.4
MAR08508,222.4
MAR08509,420.9
MAR08511,236.7
MAR08512,-1.0
MAR08514,-1.0
MAR08516,20.4
MAR08517,-1.0
MAR04280,-1.0
MAR00153,108.1
MAR03212,335.7
MAR03797,108.1
MAR03800,40.9
MAR04105,43.4
MAR04106,43.4
MAR04107,43.4
MAR04282,-1.0
MAR04331,108.1
MAR04459,108.1
MAR04460,108.1
MAR04464,-1.0
MAR04497,-1.0
MAR04741,135.3
MAR08078,-1.0
MAR09803,-1.0
MAR09804,583.7
MAR00718,-1.0
MAR00719,-1.0
MAR01434,225.1
MAR01436,3.3
MAR03163,335.7
MAR04461,208.0
MAR04604,441.9
MAR05351,-1.0
MAR07709,825.2
MAR04052,50.7
MAR04304,0.7
MAR04350,-1.0
MAR04351,6.2
MAR04352,6.2
MAR04354,10.8
MAR04398,52.8
MAR04404,77.3
MAR04473,63.4
MAR04474,63.4
MAR04476,55.3
MAR04477,18.6
MAR04501,77.3
MAR04565,181.1
MAR04567,66.2
MAR09799,-1.0
MAR09800,-1.0
MAR04623,-1.0
MAR04625,100.8
MAR04710,10.8
MAR04841,-1.0
MAR08074,-1.0
MAR08653,100.8
MAR03998,127.4
MAR04000,-1.0
MAR04002,731.9
MAR04004,731.9
MAR04010,107.69999999999999
MAR04081,107.69999999999999
MAR04082,107.69999999999999
MAR04012,154.0
MAR04014,4.5
MAR04020,379.5
MAR04022,-1.0
MAR04038,25.1
MAR04040,24.9
MAR04042,34.5
MAR04046,10.6
MAR04048,4.5
MAR04080,14.8
MAR04085,348.6
MAR04086,348.6
MAR04134,127.4
MAR04135,379.5
MAR04168,35.9
MAR04171,3.8
MAR04290,-1.0
MAR04406,-1.0
MAR04412,108.39999999999999
MAR04417,107.69999999999999
MAR04418,21.8
MAR04419,29.5
MAR04421,3.8
MAR04449,107.69999999999999
MAR04450,107.69999999999999
MAR04451,-1.0
MAR04452,21.8
MAR04453,10.6
MAR04480,1389.2
MAR04481,-1.0
MAR04482,-1.0
MAR04486,0.6
MAR04487,0.6
MAR04488,0.6
MAR04489,0.6
MAR04492,0.6
MAR04493,0.6
MAR04495,0.6
MAR04496,0.6
MAR04518,-1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,3.8
MAR04574,-1.0
MAR04600,82.3
MAR04602,107.69999999999999
MAR04603,-1.0
MAR04611,33.6
MAR04612,33.6
MAR04614,33.6
MAR04615,33.6
MAR04617,33.6
MAR04618,33.6
MAR04619,33.6
MAR04621,33.6
MAR04632,107.69999999999999
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651,-1.0
MAR04663,-1.0
MAR04664,21.8
MAR04694,-1.0
MAR04695,-1.0
MAR04705,107.69999999999999
MAR04709,-1.0
MAR04799,17.8
MAR04802,17.8
MAR04804,81.2
MAR04808,-1.0
MAR04810,81.2
MAR04812,108.39999999999999
MAR04814,25.1
MAR05301,38.4
MAR05353,379.5
MAR06601,-1.0
MAR06602,1371.6
MAR06603,1371.6
MAR06605,-1.0
MAR06606,-1.0
MAR06607,-1.0
MAR06609,-1.0
MAR06610,-1.0
MAR06611,-1.0
MAR07144,218.3
MAR08755,-1.0
MAR09797,-1.0
MAR04016,227.9
MAR04018,227.9
MAR04044,227.9
MAR04291,227.9
MAR04420,227.9
MAR04570,227.9
MAR04572,227.9
MAR04006,227.9
MAR04028,227.9
MAR04030,227.9
MAR04670,227.9
MAR04673,227.9
MAR04675,227.9
MAR06614,227.9
MAR06615,227.9
MAR06616,227.9
MAR04635,227.9
MAR03793,-1.0
MAR03931,67.8
MAR03969,26.4
MAR03970,107.69999999999999
MAR04008,235.9
MAR04032,-1.0
MAR04034,-1.0
MAR04036,35.7
MAR04050,-1.0
MAR04056,107.69999999999999
MAR04059,127.4
MAR04060,127.4
MAR04127,27.2
MAR04177,107.69999999999999
MAR04179,107.69999999999999
MAR04182,196.8
MAR04183,-1.0
MAR04192,-1.0
MAR04194,-1.0
MAR04210,3.8
MAR04211,35.9
MAR04343,5.8
MAR04345,-1.0
MAR04346,-1.0
MAR04470,-1.0
MAR04471,-1.0
MAR04472,-1.0
MAR04484,107.69999999999999
MAR04485,80.9
MAR04510,107.69999999999999
MAR04512,235.9
MAR04513,7.3
MAR04514,-1.0
MAR04577,35.7
MAR04579,22.6
MAR04580,-1.0
MAR04608,-1.0
MAR04575,-1.0
MAR04637,21.7
MAR04642,43.7
MAR04643,119.30000000000001
MAR04644,-1.0
MAR04672,-1.0
MAR04676,38.4
MAR04736,-1.0
MAR04819,-1.0
MAR05299,38.4
MAR05352,38.4
MAR05415,33.6
MAR05416,33.6
MAR05417,111.19999999999999
MAR06612,21.7
MAR06613,21.7
MAR06621,33.6
MAR06622,33.6
MAR06623,-1.0
MAR06624,47.3
MAR06627,3.8
MAR07744,10.2
MAR08072,-1.0
